"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"1","Normal/Others","WS/MP187/2023-2024/1199-Construction of rooms and halls in school and colleges","Uttar Pradesh","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","Construction of Class room Sompal Singh Memorial Public School","14-Jun-2023","07-Nov-2023","1000000","Vendor Identification"
"2","Normal/Others","WS/MP187/2023-2024/1200-Construction of rooms and halls in school and colleges","Uttar Pradesh","SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","Construction of Class room and Hall Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya","14-Jun-2023","08-Dec-2023","1000000","Physical Inspection"
"3","Normal/Others","WS/MP187/2023-2024/1211-Construction of rooms and halls in school and colleges","Uttar Pradesh","ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","Construction of Classroom and hall Galaxy Public School lakhna","14-Jun-2023","15-Mar-2024","1000000","Work Completed"
"4","Normal/Others","WS/MP001/2023-2024/1215-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","P.C.C ??? ?? ???????","14-Jun-2023","12-Aug-2023","1484933","Work Completed"
"5","Normal/Others","WS/MP001/2023-2024/1216-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","P.C.C ??? ?? ???????","14-Jun-2023","12-Aug-2023","1486089","Work Completed"
"6","Normal/Others","WS/MP001/2023-2024/1217-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","P.C.C ??? ?? ???????","14-Jun-2023","12-Aug-2023","1484550","Work Completed"
"7","Normal/Others","WS/MP001/2023-2024/1218-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","P.C.C ??? ?? ???????","14-Jun-2023","12-Aug-2023","1484940","Physical Inspection"
"8","Normal/Others","WS/MP190/2023-2024/1301-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi HighMast Light","19-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"9","Normal/Others","WS/MP190/2023-2024/1302-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi Highmast Light","19-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"10","Normal/Others","WS/MP190/2023-2024/1303-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED SEMI High Mast Light","19-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"11","Normal/Others","WS/MP190/2023-2024/1304-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi Highmast Light","19-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"12","Normal/Others","WS/MP190/2023-2024/1305-Street lights","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","LED Semi Highmast Light","19-Jun-2023","24-Aug-2023","243000","Physical Inspection"
"13","Normal/Others","WS/MP187/2023-2024/1362-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Light ( 6 lights)","21-Jun-2023","07-Jul-2023","283000","Work Completed"
"14","Normal/Others","WS/MP187/2023-2024/1363-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"15","Normal/Others","WS/MP187/2023-2024/1364-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Lights ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"16","Normal/Others","WS/MP187/2023-2024/1365-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"17","Normal/Others","WS/MP187/2023-2024/1366-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Light","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"18","Normal/Others","WS/MP187/2023-2024/1367-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"19","Normal/Others","WS/MP187/2023-2024/1368-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Lights ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"20","Normal/Others","WS/MP187/2023-2024/1369-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Lights","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"21","Normal/Others","WS/MP187/2023-2024/1370-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Lights ( 6 lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"22","Normal/Others","WS/MP187/2023-2024/1371-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"23","Normal/Others","WS/MP187/2023-2024/1372-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"24","Normal/Others","WS/MP187/2023-2024/1373-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"25","Normal/Others","WS/MP187/2023-2024/1374-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Lights ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"26","Normal/Others","WS/MP187/2023-2024/1375-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask StreetLights ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"27","Normal/Others","WS/MP187/2023-2024/1376-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"28","Normal/Others","WS/MP187/2023-2024/1377-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MaskStreet Lights ( 6 Light)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"29","Normal/Others","WS/MP187/2023-2024/1378-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High MAsk Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"30","Normal/Others","WS/MP187/2023-2024/1379-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street  Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"31","Normal/Others","WS/MP187/2023-2024/1380-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Lights ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"32","Normal/Others","WS/MP187/2023-2024/1381-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"33","Normal/Others","WS/MP001/2023-2024/1411-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","???? ????? ??? ?? ???????  ???? ??? ???? ????? ??? ???? ??? ????? ????? ?? ?? ?? ??. ???  ??? ???? ?? ?? ?? ?? ???? ???? ???? ??? ??? ???? ???? ??? ??? ??? ?? ???????","21-Jun-2023","15-Sep-2023","1484100","Physical Inspection"
"34","Normal/Others","WS/MP187/2023-2024/1419-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"35","Normal/Others","WS/MP187/2023-2024/1420-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"36","Normal/Others","WS/MP187/2023-2024/1421-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"37","Normal/Others","WS/MP187/2023-2024/1422-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"38","Normal/Others","WS/MP187/2023-2024/1423-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"39","Normal/Others","WS/MP187/2023-2024/1424-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"40","Normal/Others","WS/MP187/2023-2024/1425-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"41","Normal/Others","WS/MP187/2023-2024/1426-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"42","Normal/Others","WS/MP187/2023-2024/1427-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"43","Normal/Others","WS/MP187/2023-2024/1428-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"44","Normal/Others","WS/MP187/2023-2024/1429-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"45","Normal/Others","WS/MP187/2023-2024/1430-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"46","Normal/Others","WS/MP187/2023-2024/1431-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"47","Normal/Others","WS/MP187/2023-2024/1432-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"48","Normal/Others","WS/MP187/2023-2024/1433-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"49","Normal/Others","WS/MP187/2023-2024/1434-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"50","Normal/Others","WS/MP187/2023-2024/1435-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"51","Normal/Others","WS/MP187/2023-2024/1436-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","DUDHIYa MANDIR PILIBHIT","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"52","Normal/Others","WS/MP187/2023-2024/1437-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"53","Normal/Others","WS/MP187/2023-2024/1438-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","High Mask LED Street Light ( 6 Lights)","21-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"54","Normal/Others","WS/MP106/2023-2024/1439-Construction of roads, link roads, pathways or any other road with or without drainage system","Madhya Pradesh","Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","paber block work in ground government sanjay middle school police narsinghpur","22-Jun-2023","20-Sep-2023","500000","Physical Inspection"
"55","Normal/Others","WS/MP106/2025-2026/1464-Construction of culverts and bridges","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Panchayat Nuniya Kalan, Janpad Panchayat Panagar ke gram Nuniya Kalan ke Bajrai Nala ke pas Puliya nirman, Jabalpur","22-Jun-2023","31-Jan-2026","500000","Work partially Completed"
"56","Normal/Others","WS/MP001/2023-2024/1487-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","?????? ???? ????, ??? ?????? ??? ??0??0??0 ??? ?? ??????? ????? ?","23-Jun-2023","26-Oct-2023","1385546","Physical Inspection"
"57","Normal/Others","WS/MP001/2023-2024/1488-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","??0??0??0 ??? ?? ??????? ?????","23-Jun-2023","26-Oct-2023","1486150","Physical Inspection"
"58","Normal/Others","WS/MP001/2023-2024/1489-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","??0??0??0 ??? ?? ???????","23-Jun-2023","26-Oct-2023","1198135","Physical Inspection"
"59","Normal/Others","WS/MP001/2023-2024/1490-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","??0??0??0 ??? ?? ??????? ?????","23-Jun-2023","26-Oct-2023","897400","Physical Inspection"
"60","Normal/Others","WS/MP001/2023-2024/1493-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","??0??0??0 ??? ??????? ?????","23-Jun-2023","05-Sep-2023","1484800","Physical Inspection"
"61","Normal/Others","WS/MP001/2023-2024/1494-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","??? ??????? ?????","23-Jun-2023","12-Aug-2023","989898","Physical Inspection"
"62","Normal/Others","WS/MP001/2023-2024/1495-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PATNA(DISTRICT PLANNING OFFICER PATNA_IDA)","Shri Shambhu Sharan Patel (2022-28) (2022-2028)","Elected MP","??? ??????? ?????","23-Jun-2023","12-Aug-2023","989710","Physical Inspection"
"63","Normal/Others","WS/MP187/2023-2024/1496-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"64","Normal/Others","WS/MP187/2023-2024/1497-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"65","Normal/Others","WS/MP187/2023-2024/1498-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"66","Normal/Others","WS/MP187/2023-2024/1499-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"67","Normal/Others","WS/MP187/2023-2024/1500-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"68","Normal/Others","WS/MP187/2023-2024/1501-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"69","Normal/Others","WS/MP187/2023-2024/1502-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"70","Normal/Others","WS/MP187/2023-2024/1503-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"71","Normal/Others","WS/MP187/2023-2024/1504-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"72","Normal/Others","WS/MP187/2023-2024/1505-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"73","Normal/Others","WS/MP187/2023-2024/1506-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"74","Normal/Others","WS/MP187/2023-2024/1507-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"75","Normal/Others","WS/MP187/2023-2024/1508-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"76","Normal/Others","WS/MP187/2023-2024/1509-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"77","Normal/Others","WS/MP187/2023-2024/1510-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"78","Normal/Others","WS/MP187/2023-2024/1511-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"79","Normal/Others","WS/MP187/2023-2024/1512-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"80","Normal/Others","WS/MP187/2023-2024/1513-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"81","Normal/Others","WS/MP187/2023-2024/1514-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"82","Normal/Others","WS/MP187/2023-2024/1515-Street lights","Uttar Pradesh","PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA)","Shri Javed Ali Khan (2022-28) (2022-2028)","Elected MP","HIGH MASK LED STREET LIGHT ( 6  LIGHTS)","23-Jun-2023","07-Jul-2023","283000","Physical Inspection"
"83","Normal/Others","WS/MP106/2025-2026/1516-Development of playground","Madhya Pradesh","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","Gram Nagna, Gram Panchayat Nagna, Janpad Panchayat Panagar ke Govt. Middle School Bhawan Parisar me Pevar Block kary hetu, District Jabalpur","23-Jun-2023","15-May-2025","600000","Work partially Completed"
