"Sr. No.","Work category","Work","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","Sanction Date","Sanction Amount ( ₹ )","Work Status"
"4244","Normal/Others","WS/MP081/2024-2025/133892-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of PCC road from Munda Bagicha towards Seema Singh's land in village Tetri of Namkum block under Ranchi district.","21-Jul-2024","21-Aug-2024","500000","Vendor Identification"
"4245","Repair and Renovation","WS/MP081/2024-2025/133893-Construction of community centers and community halls","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Remaining finishing work of community building near Madhukam pond in ward no 43 under Ranchi district","21-Jul-2024","21-Aug-2024","700000","Physical Inspection"
"4246","Normal/Others","WS/MP081/2024-2025/133894-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of road from Lalu Oraon's house towards Surendra Prasad's house in Ward No. 43 Ashok Ashram Colony Dibdih under Ranchi district.","21-Jul-2024","21-Aug-2024","500000","Physical Inspection"
"4247","Normal/Others","WS/MP081/2024-2025/133895-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of PCC road from Nageshwar Mishra's house towards Jitendra Pandey's house in Ward No. 34 L.N. Mishra Colony, Itki Road under Ranchi district","21-Jul-2024","21-Aug-2024","500000","Physical Inspection"
"4248","Normal/Others","WS/MP081/2024-2025/133897-Construction of roads, link roads, pathways or any other road with or without drainage system","Jharkhand","RANCHI(DEPUTY COMMISSIONER RANCHI_IDA)","Shri Aditya Prasad (2022-28) (2022-2028)","Elected MP","Construction of PCC road from Argora Dibdih main road to New Shanti Nagar under Ranchi district.","21-Jul-2024","21-Aug-2024","700000","Physical Inspection"
"4249","Normal/Others","WS/MP147/2024-2025/133898-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","Deeg(DISTRICT COLLECTOR Deeg_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","For WBM road construction from Sardar Jatav's house to towards Kohni Baandh in Gram Rundh Bhatwali.","21-Jul-2024","25-Nov-2024","1500000","Work partially Completed"
"4250","Normal/Others","WS/MP235/2024-2025/133903-Purchase of motor boats for flood and cyclone prone areas","Punjab","FEROZEPUR(DEPUTY COMMISSIONER FIROZEPUR_IDA)","Dr. Sandeep Kumar Pathak (2022-28) (2022-2028)","Elected MP","For Water Boat for the flood affected village Panchayat Pharuwala","22-Jul-2024","22-Jul-2024","1000000","Physical Inspection"
"4251","Normal/Others","WS/MP148/2024-2025/133918-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Shri Randeep Singh Surjewala (2022-28) (2022-2028)","Elected MP","Construction Work of Cement Concrete (CC) Road from Khati's house toward Ballupura Road at Bajyawas, Dist. - Sikar","22-Jul-2024","17-Dec-2024","914751","Physical Inspection"
"4252","Normal/Others","WS/MP084/2024-2025/133930-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work from Y.T.Road to Puttaswamy's House, Soravanahalli Gram Panchyat,Turuvekere Taluk, Tumakuru District.","22-Jul-2024","17-Dec-2024","500000","Physical Inspection"
"4253","Normal/Others","WS/MP084/2024-2025/133931-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work, Mugalur village, Soravanahalli Gram Panchayat, Turuvekere Taluk, Tumakuru District.","22-Jul-2024","17-Dec-2024","500000","Work Completed"
"4254","Normal/Others","WS/MP084/2024-2025/133932-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work, Mugalur village, Soravanahalli Gram Panchayat, Turuvekere Taluk, Tumakuru District.","22-Jul-2024","17-Dec-2024","500000","Work Completed"
"4255","Normal/Others","WS/MP084/2024-2025/133933-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work, Jadiya Village, Soravanahalli Gram Panchayat, Turuvekere Taluk, Tumakuru District.","22-Jul-2024","17-Dec-2024","500000","Physical Inspection"
"4256","Normal/Others","WS/MP084/2024-2025/133934-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work, Dasihalli village, Soravanahalli Gram Panchayat, Turuvekere Taluk, Tumakuru District.","22-Jul-2024","17-Dec-2024","500000","Physical Inspection"
"4257","Normal/Others","WS/MP084/2024-2025/133935-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work, Thubinakatte Village, Soravanahalli Gram Panchayat, Turuvekere Taluk, Tumakuru District.","22-Jul-2024","17-Dec-2024","500000","Work Completed"
"4258","Normal/Others","WS/MP084/2024-2025/133936-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work, Thubinakatte Village, Soravanahalli Gram Panchayat, Turuvekere Taluk, Tumakuru District.","22-Jul-2024","17-Dec-2024","500000","Work Completed"
"4259","Normal/Others","WS/MP084/2024-2025/133937-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work, Thubinakatte Village, Soravanahalli Gram Panchayat, Turuvekere Taluk, Tumakuru District.","22-Jul-2024","17-Dec-2024","500000","Work Completed"
"4260","Normal/Others","WS/MP084/2024-2025/133938-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work, Mugalur Village, Soravanahalli Gram Panchayat, Turuvekere Taluk, Tumakuru District.","22-Jul-2024","17-Dec-2024","500000","Work Completed"
"4261","Normal/Others","WS/MP084/2024-2025/133939-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","Shri Jaggesh (2022-28) (2022-2028)","Elected MP","Road Development Work, Mayasandra, Mayasandra Gram Panchayat, Turuvekere Taluk, Tumakuru District.","22-Jul-2024","17-Dec-2024","500000","Work Completed"
"4262","Normal/Others","WS/MP846/2024-2025/133986-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from Govindu Chinna Anjaiah House To Sangoju Jagathaiah  House in Ramreddypally(v) of Urkonda(m).","23-Jul-2024","13-Aug-2024","197859","Physical Inspection"
"4263","Normal/Others","WS/MP846/2024-2025/133987-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from Govindu  Mallaiah House To chinna Kurva Beeraiah House in Ramreddypally(v) of Urkonda(m).","23-Jul-2024","13-Aug-2024","300000","Physical Inspection"
"4264","Normal/Others","WS/MP846/2024-2025/133988-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from Thandra Balaiah House To Govindu Shivaraju House in Ramreddypally(v) of Urkonda(m).","23-Jul-2024","13-Aug-2024","299963","Physical Inspection"
"4265","Normal/Others","WS/MP846/2024-2025/133989-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from Sangoju Brahma Chary House To  Sangoju Srinivas House in Ramreddypally(v) of Urkonda(m).","23-Jul-2024","13-Aug-2024","197859","Physical Inspection"
"4266","Normal/Others","WS/MP846/2024-2025/133990-Lighting of public spaces","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Providing Highmast Lights Near Milk Booth Center in Ramreddypally (v) of Urkonda(m).","23-Jul-2024","13-Aug-2024","196489","Physical Inspection"
"4267","Normal/Others","WS/MP846/2024-2025/133991-Lighting of public spaces","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Providing Highmast Lights Near Ambedkar Statue in Ramreddypally (v) of Urkonda(m).","23-Jul-2024","13-Aug-2024","196488","Physical Inspection"
"4268","Normal/Others","WS/MP846/2024-2025/133992-Lighting of public spaces","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Providing Highmast Lights Near Anjaneya Swamy Temple Jagaboinpally(V) of Urkonda(M). Nagarkurnool Dist.","23-Jul-2024","13-Aug-2024","196489","Physical Inspection"
"4269","Normal/Others","WS/MP846/2024-2025/133993-Lighting of public spaces","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Providing Highmast Lights Near Old Grampanchayat Building, Jagboinpally(V) of Urkonda Mandal.Nagarkurnool Dist","23-Jul-2024","13-Aug-2024","196488","Physical Inspection"
"4270","Normal/Others","WS/MP846/2024-2025/133994-Construction of roads, link roads, pathways or any other road with or without drainage system","Telangana","NAGARKURNOOL(DISTRICT COLLECTOR NAGARKURNOOL_IDA)","Shri Damodar Rao Divakonda (2022-28) (2022-2028)","Elected MP","Laying of CC Road from Samba Nagamallesh house to Dayala Kistaiah House in Ramreddypally (v) of Urkonda (m).","23-Jul-2024","13-Aug-2024","500000","Physical Inspection"
"4271","Normal/Others","WS/MP18304/2024-2025/133995-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","pucca path from dhar to khaniyaru GP Chil BANGLA Dev. Block chamba","25-Jul-2024","18-Sep-2024","400000","Work Completed"
"4272","Normal/Others","WS/MP015/2024-2025/134044-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Susi Nagar in Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995109","Physical Inspection"
"4273","Normal/Others","WS/MP015/2024-2025/134045-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Main Road East Side in Vallalar Nagar in Kovilpappakudi Village,Madurai District.","24-Jul-2024","18-Nov-2024","995737","Physical Inspection"
"4274","Normal/Others","WS/MP015/2024-2025/134046-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at 3rd Street East Side in Vallalar Nagar in Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995995","Physical Inspection"
"4275","Normal/Others","WS/MP015/2024-2025/134047-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Cross Street in 3rd Street, Vallalar Nagar in Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","996186","Physical Inspection"
"4276","Normal/Others","WS/MP015/2024-2025/134048-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Annai Therasa Street East Side in Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","996138","Physical Inspection"
"4277","Normal/Others","WS/MP015/2024-2025/134049-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Main Road South Side in Vallalar Nagar in Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995057","Physical Inspection"
"4278","Normal/Others","WS/MP015/2024-2025/134050-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at 3rd Street West Side in Vallalar Nagar in Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995328","Physical Inspection"
"4279","Normal/Others","WS/MP015/2024-2025/134051-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Annai Therasa Street West Side in Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995811","Physical Inspection"
"4280","Normal/Others","WS/MP015/2024-2025/134052-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Grave Yard road in Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995961","Physical Inspection"
"4281","Normal/Others","WS/MP015/2024-2025/134053-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at 2nd Street in Vallalar Nagar in Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995602","Physical Inspection"
"4282","Normal/Others","WS/MP015/2024-2025/134055-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Abdulkalam Street North Side in Thinamani Nagar,Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","995695","Physical Inspection"
"4283","Normal/Others","WS/MP015/2024-2025/134056-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Dharmar (2022-28) (2022-2028)","Elected MP","Providing Bituminous macadam road at Vallaba Ganapathi Street East Side in Thinamani Nagar,Kovilpappakudi Village,Madurai District.","24-Jul-2024","13-Sep-2024","996209","Physical Inspection"
