"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"1","Normal/Others","WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA)","PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.","Pradeep Kumar Singh","ARARIA","N/A","05-Sep-2024","448127"
"2","Normal/Others","WS/MP18152/2024-2025/133691-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Bajakhana (Bus adda)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"3","Normal/Others","WS/MP345/2024-2025/134140-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Concreting of road from Janathavayanasala -  Panthaplavil, ward no.6  Thrikkaruva GP, in  Kollam Constituency","Shri NK Premachandran","KOLLAM","N/A","12-Aug-2024","293492"
"4","Normal/Others","WS/MP18152/2024-2025/133686-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school bajakhana main","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"5","Normal/Others","WS/MP18152/2024-2025/133690-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Dal Singh Wala","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"6","Normal/Others","WS/MP18152/2024-2025/133689-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Rauwala","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"7","Normal/Others","WS/MP345/2024-2025/134143-Construction of buildings for community cultural activities","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Construction of Building for Brothers Library & Reading room, Puthenchantha at  Panmana Grama panchayath in Chavara Constituency.","Shri NK Premachandran","KOLLAM","Images","28-Oct-2024","1182588"
"8","Normal/Others","WS/MP345/2024-2025/134144-Construction of buildings for community cultural activities","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Construction of Head Quarter Building  for Perumon Thanal Charitable Trust in Panayam Grama Panchayat of Kollam Constituency (2nd  reach)","Shri NK Premachandran","KOLLAM","N/A","17-Aug-2024","338444"
"9","Normal/Others","WS/MP18152/2024-2025/133694-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Pakka No.4","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"10","Normal/Others","WS/MP18152/2024-2025/133696-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of RO System and water cooler in Govt Primary school Pakka No.4","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","84500"
"11","Normal/Others","WS/MP18152/2024-2025/133701-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of RO System and water cooler in Govt Primary school Bajakhana Main","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","84500"
"12","Normal/Others","WS/MP18152/2024-2025/133693-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Gumti Khurd","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"13","Normal/Others","WS/MP18152/2024-2025/133703-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of RO System and water cooler in Govt Primary school Dhudi","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","84500"
"14","Normal/Others","WS/MP18152/2024-2025/133688-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Sedha Singhwala","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"15","Normal/Others","WS/MP18152/2024-2025/133687-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Gondara","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","300000"
"16","Normal/Others","WS/MP345/2024-2025/134123-Construction of rooms and halls in school and colleges","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Construction of building for Kadamancode Tribal LP School in Kulathupuzha Grama Panchayat in  Punalur Constituency (ST)","Shri NK Premachandran","KOLLAM","Images","06-Dec-2024","4740188"
"17","Normal/Others","WS/MP18278/2024-2025/134671-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","CC Road- From the Godhan Raju ahead of the house.","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","08-Oct-2024","500000"
"18","Normal/Others","WS/MP18278/2024-2025/134668-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","CC Road- Amit Sahu ahead of the house.","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","06-Dec-2024","1500000"
"19","Normal/Others","WS/	 MP620/2024-2025/133312-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34","Pralhad Venkatesh Joshi","DHARWAD","Images","09-Jun-2025","498091"
"20","Normal/Others","WS/	 MP620/2024-2025/133166-Construction of buildings for community cultural activities","Karnataka","DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA)","Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work","Pralhad Venkatesh Joshi","DHARWAD","Images","14-Oct-2024","497185"
"21","Normal/Others","WS/MP672/2024-2025/136731-Lighting of public spaces","Maharashtra","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Installation of Highmast light and electric poles with light at Gosavi Ghat, Binaki, Nagpur","Nitin Jairam Gadkari","NAGPUR","Images","23-Aug-2024","963514"
"22","Normal/Others","WS/MP18278/2024-2025/134638-Construction of common work sheds/ common covered sitting area","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","Construction of common sitting area (Chaburta)","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","12-Feb-2025","300000"
"23","Normal/Others","WS/MP18278/2024-2025/134644-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","CC Road- Ahead from the main road towards the canal.","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","12-Feb-2025","1000000"
"24","Normal/Others","WS/MP18278/2024-2025/134646-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","CC Road- From the road towards the Colony","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","25-Nov-2024","999550"
"25","Normal/Others","WS/MP18278/2024-2025/134674-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","CC Road- Community Building to Patharri pond (Taalab).","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","27-Nov-2024","998000"
"26","Normal/Others","WS/MP492/2024-2025/134984-Lighting of public spaces","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","Installation of 156 LED Highmast Lights for Rural and Urban areas as per enclosed List","Shri Arun Kumar Sagar","SHAHJAHANPUR(SC)","Images","25-Nov-2024","37908000"
"27","Normal/Others","WS/MP492/2024-2025/134981-Construction of bus-sheds or bus-stops","Uttar Pradesh","SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA)","15 Yatri Tin/Bus shades List for rural and Urban Areas as per enclosed List","Shri Arun Kumar Sagar","SHAHJAHANPUR(SC)","N/A","25-Nov-2024","9900000"
"28","Normal/Others","WS/MP18152/2024-2025/133697-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of Smart Classroom & Cycle Shed in Govt Primary school Machaki Mal Singh","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","298940"
"29","Normal/Others","WS/MP347/2024-2025/138112-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","KOLLAM(DISTRICT COLLECTOR KOLLAM_IDA)","Construction of side protection wall and concreating of Erattakottu Palanirappil road in ward 8, Neduvathur Grama Panchayath (SC)","Shri Suresh Kodikunnil","MAVELIKKARA(SC)","Images","09-Sep-2024","1254628"
"30","Normal/Others","WS/MP18278/2024-2025/134672-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","CC Road- From the high school towards the Fair Ground","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","17-Oct-2024","991511"
"31","Normal/Others","WS/MP691/2024-2025/140096-Fitting of Sitting RCC Benches in Public Places","Maharashtra","JALGAON(DISTRICT COLLECTOR JALGAON_IDA)","Mauje Bodwad Bodwad District  Seating Arrangment at various places for inner city citizens in Jalgaon.","Smt Raksha Nikhil Khadse","RAVER","Images","11-Sep-2024","2974718"
"32","Normal/Others","WS/MP18278/2024-2025/134649-Construction of culverts and bridges","Chhattisgarh","SAKTI(COLLECTOR SAKTI_IDA)","Construction of culverts and bridges- Between Singhra and Chhote Kot","KAMLESH JANGDE","JANJGIR CHAMPA(SC)","Images","05-Mar-2025","998871"
"33","Normal/Others","WS/MP18328/2024-2025/138242-Lighting of public spaces","Himachal Pradesh","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Jamna Devi W/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 8219147679","Kangana Ranaut","MANDI","N/A","16-Jun-2025","14805"
"34","Normal/Others","WS/MP18328/2024-2025/138243-Lighting of public spaces","Himachal Pradesh","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) to the house of Deepak Thakur S/o Late Sh. Devki Nandan, Village Khuiri Dom, PO- Rajgarh, Tehsil-Balh, District-Mandi, H.P. PIN-175027, Ph- 7986677538","Kangana Ranaut","MANDI","N/A","16-Jun-2025","14805"
"35","Normal/Others","WS/MP18328/2024-2025/138244-Lighting of public spaces","Himachal Pradesh","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Installation of Solar Lights, Lightning of Public Spaces. Installation of One Solar Light (12 Watt) near the house of Suneel Kumar S/o Gulaba Ram, Village Kalehri, PO- Balhara, Tehsil-Baldwara, District-Mandi, H.P. PIN-175033, Ph- 7590053551","Kangana Ranaut","MANDI","N/A","16-Jun-2025","14805"
"36","Normal/Others","WS/MP18152/2024-2025/133695-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of Cycle Shed in Govt Primary school Lambwali","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","197304"
"37","Normal/Others","WS/MP18152/2024-2025/133699-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of RO System and water cooler in Govt Primary school Dhilwan kalan","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","84500"
"38","Normal/Others","WS/MP18152/2024-2025/133692-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of MID DAY Meal Shed in Govt Primary school Okandwala","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","299155"
"39","Normal/Others","WS/MP777/2024-2025/136655-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Sai enclave colony Chipiyana Buzurg Ke Gali number 8, B- block main Nirmal dairy Se Rinku Sharma Ke ghar ki aur interlocking va Naali nirman Karya, 70 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","995219"
"40","Normal/Others","WS/MP18152/2024-2025/137630-Purchase of mobile water tankers","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Purchase of Steel mobile water tanker","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","200000"
"41","Normal/Others","WS/MP18152/2024-2025/137631-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of mid-day meal Shed in Govt Primary school Ratti rori Tibbian","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","299155"
"42","Normal/Others","WS/MP18152/2024-2025/137637-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of mid-day meal Shed in Govt Primary school Dana romana","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","299155"
"43","Normal/Others","WS/MP18152/2024-2025/137640-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of Midday meal Shed in Govt Primary school Dod Main","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","299155"
"44","Normal/Others","WS/MP18152/2024-2025/137641-Construction of rooms and halls in school and colleges","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Construction of mid-day meal Shed in Govt primary School","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","299155"
"45","Normal/Others","WS/MP18152/2024-2025/137633-Purchase of mobile water tankers","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Purchase of mobile Steel water tanker in GP Mai Godri Sahib","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","200000"
"46","Normal/Others","WS/MP18152/2024-2025/137635-Street lights","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of Fixed Street Lights","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","200000"
"47","Normal/Others","WS/MP777/2024-2025/136656-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Gram Bhogpur main Mahkesh Ke Makaan Se lekar Gyano Devi Ke ghar ki ore interlocking va nali nirman karya, 80 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","995046"
"48","Normal/Others","WS/MP777/2024-2025/135874-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Noida ke Shribalaji Enclave Unnati Vihar Sector 123 men Jagdeep Sing Bisht ke ghar se lekar Rajesh Rai ke ghar ki ore interloking & naali kary, 86 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","997045"
"49","Normal/Others","WS/MP777/2024-2025/135877-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Gram Tigri me rakesh ke office se lekar suman agarwal ke makaan ki ore interlocking & naali kary, 75 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","998035"
"50","Normal/Others","WS/MP777/2024-2025/135876-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Noida ke Salarpur men Sheela devi ki meethai ki dukan se lekar ravindra ke makan ki ore interloking & naali kary, 90 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","997302"
"51","Normal/Others","WS/MP777/2024-2025/135879-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Bahlolpur Jitendra Colony near Gas Agency gali no 5 jitednra ke ghar se lekar santosh ki dukan ki ore interlocking & naali nirman kary, 95 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","997045"
"52","Normal/Others","WS/MP777/2024-2025/135878-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Kakrala men Kinnu Prajapati ki dukan kea age se bahav ki gali ki ore interlocking & naali nirman kary , 76 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","995562"
"53","Normal/Others","WS/MP777/2024-2025/135882-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Noida ke Sarswati Kunj chipiyana urf Tigri men Manoj Dixit ke makaan se lekar nor mohammad ke makaan ki or interlocking & naali nirman kary, 100 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","997224"
"54","Normal/Others","WS/MP777/2024-2025/135881-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Kakrala colony men Suresh Gupta ke makan ke samne se rajvir ke farm house hote huye pawan singh ke makan tak interlocking & naali nirman kary, 90 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","998231"
"55","Normal/Others","WS/MP777/2024-2025/135880-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Kanawani men Deepak Nagar ke makaan se lekar mohit Sharma ke makaan ki or interlocking & naali kary, 92 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","998269"
"56","Normal/Others","WS/MP777/2024-2025/136650-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Main Girdharpur sampark marg chakki wali gali ki aur interlocking & naali nirmaan karya, 78 meter.","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","998160"
"57","Normal/Others","WS/MP777/2024-2025/136649-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Gram Kheda Dharampur mein madan ke ghar se lekar R G International school ki ore interlocking nali nirmaan karya, 90 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","786302"
"58","Normal/Others","WS/MP777/2024-2025/136654-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Kulesara ke Shiv enclave, greater Noida mein Shivkumar Se Aanchal Ke Makaan tak interlocking & Nalli nirman, 90 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","998123"
"59","Normal/Others","WS/MP777/2024-2025/136652-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Gram Dadupur katana me Mukhya Marg School primary school se lekar Naharpul ki ore se CC Road, Nirman karya, 65 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","998078"
"60","Normal/Others","WS/MP777/2024-2025/136651-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Sai Enclave Colony, Chipiyana Buzurg main Himanshu Upadhyay ke Makaan se lekar Harender Kumar ke Makaan ki ore interlocking & Nalli Nirman karya, 67 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","797062"
"61","Normal/Others","WS/MP777/2024-2025/136657-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Sidipur main Tatarpur NTPC Road se lekar Jitender Sharma Ke Makaan ki ore CC Road & nali nirman, 80 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","998346"
"62","Normal/Others","WS/MP777/2024-2025/136658-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Salarpur Kalan Dadri Mai Main Road Se lekar Moolchand Pradhan Ke Makaan ki aur interlocking Naali Nirman Karya, 100 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","996693"
"63","Normal/Others","WS/MP777/2024-2025/136690-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Laudana men Gaura Balmiki ke plant se lekar giri Sharma ke makaan ki ore interlocking & naali nirman, 116 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","998016"
"64","Normal/Others","WS/MP777/2024-2025/136689-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mangrouli jewar me prabhat ke ghar se lekar satyaveer ke ghar ki ore CC road & naali nirman, 100 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","996582"
"65","Normal/Others","WS/MP777/2024-2025/136687-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Village-Jhuppa men ravindra ke makaan se lekar mahipal Sharma ke makaan ki ore CC road & naali nirman, 73 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","998358"
"66","Normal/Others","WS/MP777/2024-2025/136695-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Samaspur Dankaur mandal me Krishna Bansal ke makaan se lekar mohan baba mandir ki ore CC road & naali nirman, 103 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","998154"
"67","Normal/Others","WS/MP777/2024-2025/136694-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Chiti men Giriraj ke makaan se lekar rajesh sharma ke makaan ki ore interlocking & naali nirman, 83 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","998067"
"68","Normal/Others","WS/MP777/2024-2025/136693-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Kanarsi Dankaur me harikishan ke makaan se lekar mahri ke makaan ki ore interlocking & naali nirman, 75 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","997341"
"69","Normal/Others","WS/MP777/2024-2025/136692-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mangrauli men satveer ke ghar se lekar rajendra ke ghar ki ore CC road & naali nirman, 90 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","996363"
"70","Normal/Others","WS/MP777/2024-2025/136691-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Kasna men 6 pratishat plot men C Block se lekar 19 D ki ore CC road  & naali nirman, 35 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","533454"
"71","Normal/Others","WS/MP777/2024-2025/136696-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Vilaspur men Rampur road se lekar merry Dairy ki ore interlocking & naali nirman, 91 meter","Mahesh Sharma","GAUTAM BUDDHA NAGAR","Images","09-Sep-2025","906023"
"72","Normal/Others","WS/MP18152/2024-2025/137632-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of RO System and water cooler in Govt Primary school Dana Romana","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","84500"
"73","Normal/Others","WS/MP18152/2024-2025/137634-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of RO System and water cooler in Govt Primary school Ratti Rori Tibbian","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","84500"
"74","Normal/Others","WS/MP18152/2024-2025/137639-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of RO System and water cooler in Govt Primary school","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","84500"
"75","Normal/Others","WS/MP18152/2024-2025/137638-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of RO System and water cooler in Govt Primary school Balbir Basti","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","84500"
"76","Normal/Others","WS/MP18152/2024-2025/137636-Installing community drinking water plants","Punjab","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","Installation of RO System and water cooler in Govt Primary school","SARABJEET SINGH KHALSA","FARIDKOT(SC)","N/A","07-Apr-2025","84500"
