"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Constituency","Image","Completion Date","Amount Disbursed ( ₹ )"
"1957","Normal/Others","WS/MP828/2024-2025/150666-Street lights","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","09 nos. solar street Light 6m near :1)Sukanta Smriti Vidyalay 2)Biplabi Club 3)H/O Harendranath Biswas 4)H/O Suvadh Biswas 5)H/O Haradhan Biswas 6)H/O Narayan biswas 7)H/O Laxman Biswas 8)H/O Ganesh Sikder 9) Shamali Munda under Kamalpur GP , Ranaghat -II Block development.","Jagannath Sarkar","RANAGHAT(SC)","Images","23-Jun-2025","281980"
"1958","Normal/Others","WS/MP828/2024-2025/150667-Street lights","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","09 nos Solar Light 6m near :1) Daspara Kalimandir 2)H/O Rohit Das 3)H/O Ajit Sadhukhan  4) H/O Ranjit biswas 5) H/O Khokan Adhikari 6) H/O Ujjal Mridha 7) H/O Alok Mandal 8) H/O Parimal Mallick 9) H/O Amar Biswas under Kamalpur GP, Ranaghat -II Block Development.","Jagannath Sarkar","RANAGHAT(SC)","Images","23-Jun-2025","281980"
"1959","Normal/Others","WS/MP828/2024-2025/150668-Street lights","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","09 nos. Solar Light 6m near:1) H/O Manitosh Ray 2) H/O Gobinda Karmakar 3) H/O Barin Biswas 4) H/O Biplab Ray 5) H/O Rinku Barui 6)H/O Ashok Sadhukhan 7) H/O Naresh Biswas 8) H/O Gour Saha 9) H/O Krishnapada Roy under Kamalpur  GP , Ranaghat -II Block Development.","Jagannath Sarkar","RANAGHAT(SC)","Images","23-Jun-2025","281952"
"1960","Normal/Others","WS/MP828/2024-2025/150669-Street lights","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","09 nos. Solar Light 6m near: 1)H/O Lalmohan Sarkar 2) H/O Jiban Sarkar 3) H/O Samaresh Debnath 4) H/O Mihir Halder 5) H/O Tushar Biswas 6) H/O Bablu Mandal 7) H/O Prankrishna Sarkar 8) H/O Jaydeb Sarkar 9) H/O Madhab Sardar under Kamalpur GP, Ranaghat -II Block Development.","Jagannath Sarkar","RANAGHAT(SC)","Images","23-Jun-2025","281980"
"1961","Normal/Others","WS/MP18161/2024-2025/138069-Construction of community centers and community halls","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Samudayik bhavan Bairwa mohalla mein chardiwari may gate Nirman karya gram Nagal Rupa work agency GP Nagal Rupa","SANJNA JATAV","BHARATPUR(SC)","Images","23-Jun-2025","499545"
"1962","Normal/Others","WS/MP18346/2024-2025/142470-Construction of rooms and halls in school and colleges","Uttar Pradesh","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","Construction of a classroom at Karpoori Thakur H.S. School, Surajkunda, Rahi, Rae Bareli on the request of Shri Hariom Sharma, Manager, Mob- 7275170080","RAHUL GANDHI","RAE BARELI","N/A","29-Sep-2025","500000"
"1963","Normal/Others","WS/MP423/2024-2025/161439-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MADHUBANI(DISTRICT PLANNING OFFICER MADHUBANI_IDA)","Anumandal phulpras zila Madhubani antargat nagar panchayat phulpras  mukhya sadak se lekar anumandal karyalay office gate tk pcc sadak ka nirman karya","Ramprit Mandal","JHANJHARPUR","Images","11-Mar-2025","1378690"
"1964","Normal/Others","WS/MP18161/2024-2025/138064-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","CC interlocking sadak Nirman karya kalvaRam ke Makan se kalli ke Ghar ki or gram dantiya work agency GP Dantiya","SANJNA JATAV","BHARATPUR(SC)","Images","24-Oct-2025","596907"
"1965","Normal/Others","WS/MP18161/2024-2025/138067-Installing hand pumps","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","Sarvjanik handpump Nirman karya navab ke ghar ke pass gram dantiya work agency GP Dantiya","SANJNA JATAV","BHARATPUR(SC)","Images","24-Oct-2025","95187"
"1966","Normal/Others","WS/MP517/2024-2025/148897-Installing community drinking water plants","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","Sumbarsebal Pump in Astha City Runkata Achhnera","Rajkumar Chahar","FATEHPUR SIKRI","Images","21-Jan-2026","249291"
"1967","Normal/Others","WS/MP517/2024-2025/148898-Lighting of public spaces","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","High Mast Light at aharihar dham Ashram Yamuna Kinara Vikrampur","Rajkumar Chahar","FATEHPUR SIKRI","Images","21-Jan-2026","248833"
"1968","Normal/Others","WS/MP517/2024-2025/148896-Construction of boundary walls of existing public and community buildings","Uttar Pradesh","AGRA(DISTRICT MAGISTRAE AGRA_IDA)","CONSTRUCTION OF Boundra Wall fROM Aam vala Talab to Agra Jagner Road at Nagala Parmal Akola","Rajkumar Chahar","FATEHPUR SIKRI","Images","21-Jan-2026","890700"
"1969","Normal/Others","WS/MP18161/2024-2025/138055-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","CC interlocking sadak Nirman karya harchandi ve madan jatav ke Makan se Amar Singh v jal Singh wali gali hote hue Ravindra sarpanch ke Makan ki taraf gram lathki","SANJNA JATAV","BHARATPUR(SC)","Images","03-Nov-2025","986008"
"1970","Normal/Others","WS/MP18161/2024-2025/138060-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","ALWAR(DISTRICT COLLECTOR ALWAR_IDA)","CC sadak Nirman karya AmarSingh ke Makan se tikri road ki or gram Katehada; work agency GP Kheda Kalyanpur","SANJNA JATAV","BHARATPUR(SC)","N/A","31-Jan-2025","785757"
"1971","Normal/Others","WS/MP823/2024-2025/139550-Construction of buildings for crèches and anganwadies","West Bengal","NADIA(DISTRICT MAGISTRATE NADIA_IDA)","Construction of a ICDS Centre No 396 Near Anjoli Sardar house at Miraipur Under Dogachhia GP, Nakashipara Block, Nadia.","Ms Mahua Moitra","KRISHNANAGAR","Images","12-Jun-2025","848308"
"1972","Normal/Others","WS/MP18170/2024-2025/151378-Construction of roads, link roads, pathways or any other road with or without drainage system","Rajasthan","SIKAR(DISTRICT COLLECTOR SIKAR_IDA)","Construction of drain with interlock from main road towards Sitaram house in village Rajas Panchayat Samiti Laxmangarh","AMRARAM","SIKAR","Images","18-Mar-2025","384000"
"1973","Normal/Others","WS/MP18032/2024-2025/134038-Installing tube-wells and borewells","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Construction of new submersible and a room at north side of shankar ji ka talab Mahuwar village","SUDHAKAR SINGH","BUXAR","N/A","13-Jan-2025","991583"
"1974","Normal/Others","WS/MP18043/2024-2025/140587-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA)","Ravidsa Mandir se lekar railway line tak pcc nriman kary length 600 feet","MANOJ KUMAR","SASARAM(SC)","N/A","13-Jan-2025","789839"
"1975","Normal/Others","WS/MP18404/2024-2025/155440-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM LUTKIPUR, VIKAS KHAND NURPUR MEIN KESHPAL SINGH KE GHAR SE RAMPAL KE GHAR KI OR CC ROAD AUR NAALI NIRMAAN KAARYA. (PROVINCIAL CO-OPERATIVE CONSTRUCTION AND DEVELOPMENT LTD., BIJNOR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","21-Jan-2026","1036850"
"1976","Normal/Others","WS/MP18404/2024-2025/155438-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM BALDANA SHAFIPUR, VIKAS KHAND NURPUR MEIN ALI MOHAMMAD KI BAITHAK SE GRAM PANCHAYAT SACHIVALAY KI OR CC ROAD AUR NAALI NIRMAAN KAARYA. (PROVINCIAL CO-OPERATIVE CONSTRUCTION AND DEVELOPMENT LTD., BIJNOR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","1720660"
"1977","Normal/Others","WS/MP18404/2024-2025/155441-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM FARIDPUR DURGA, VIKAS KHAND MAUPUR DEVMAL, MEIN VIPIN KE MAKAN SE SHIVDHYAN RATHI KE MAKAN KI AUR C.C. ROAD AUR NALI NIRMAN KARYA. (PROVINCIAL CO-OPERATIVE CONSTRUCTION AND DEVELOPMENT LTD., BIJNOR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","646920"
"1978","Normal/Others","WS/MP18102/2024-2025/159138-Construction of common work sheds/ common covered sitting area","Madhya Pradesh","DHAR(DISTRICT COLLECTOR DHAR_IDA)","manglik bhavan parisar me shed nirman","SAVITRI THAKUR","DHAR(ST)","Images","15-Sep-2025","1000000"
"1979","Normal/Others","WS/MP18404/2024-2025/155436-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM ALIPUR DAMODAR, VIKAS KHAND NAHTAUR MEIN MUKHYA MARG PAR ISRAEL KE MAKAN SE BRAHMPAL KE MAKAN KI OR CC ROAD AUR NAALI NIRMAAN KAARYA. (PROVINCIAL CO-OPERATIVE CONSTRUCTION AND DEVELOPMENT LTD., BIJNOR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","802110"
"1980","Normal/Others","WS/MP18404/2024-2025/155437-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM ALIPUR DAMODAR, VIKAS KHAND NAHTAUR MEIN GRAM MUKHYA MARG SE ALEEM KE GHAR KI OR AUR AFZAL KE MAKAN SE ISLAMUDDIN KE MAKAN KI OR CC ROAD AUR NAALI NIRMAAN KAARYA. (PROVINCIAL CO-OPERATIVE CONSTRUCTION AND DEVELOPMENT LTD., BIJNOR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","373240"
"1981","Normal/Others","WS/MP18404/2024-2025/155439-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","BIJNOR(DISTRICT MAGISTRATE BIJNOR_IDA)","GRAM DARIYAPUR, VIKAS KHAND NURPUR MEIN DR. DINESH KE MAKAN SE RAVIDAS DHARAMSHALA KI OR CC ROAD AUR NAALI NIRMAAN KAARYA. (PROVINCIAL CO-OPERATIVE CONSTRUCTION AND DEVELOPMENT LTD., BIJNOR)","CHANDRA SHEKHAR","NAGINA(SC)","Images","14-Jan-2026","825879"
"1982","Normal/Others","WS/MP18138/2024-2025/143330-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","KOLASIB(Deputy Commissioner Kolasib)","Theileiki to Tuirial Link Road, 1.5 KMs","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","Images","31-Jul-2025","750000"
"1983","Normal/Others","WS/MP18138/2024-2025/148792-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","KOLASIB(Deputy Commissioner Kolasib)","Construction of PCC Flooring at  Mualvum Govt. Middle School Road. Mualvum Kawnpui","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","N/A","01-Apr-2025","1000000"
"1984","Normal/Others","WS/MP18138/2024-2025/148791-Construction of roads, link roads, pathways or any other road with or without drainage system","Mizoram","KOLASIB(Deputy Commissioner Kolasib)","Const of PCC Flooring Kawnpui PS to Vengthar Futsal Ground","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","Images","01-Apr-2025","250000"
