"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7038","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18264/2025-2026/220190","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","ADV K FRANCIS GEORGE","KOTTAYAM","08-Jul-2026","Joshy Thomas","Payment Success","130930"
"7039","Punjab","Providing drains and gutters for public drainage","WS/MP18152/2025-2026/220387","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","18-May-2026","SANDEEP SINGH","Payment Success","174336"
"7040","Punjab","Providing drains and gutters for public drainage","WS/MP18152/2025-2026/220387","MOGA(Deputy Commissioner Moga)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","18-May-2026","SANDEEP SINGH","Payment Success","101696"
"7041","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP18154/2025-2026/215779","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","15-May-2026","satnam singh","Payment Success","55250"
"7042","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/270937","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","03-Jul-2026","VIPIN SAHRMA","Payment Success","82673"
"7043","Uttarakhand","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP478/2025-2026/270937","DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA)","Mala Rajya Laxmi Shah","TEHRI GARHWAL","16-May-2026","VIPIN SAHRMA","Payment Success","313746"
"7044","Telangana","Construction of additional rooms and halls in the existing public and community building","WS/MP18194/2026-2027/224196","NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA)","SURESH KUMAR SHETKAR","ZAHIRABAD","18-Jun-2026","KOTALI SHANKAR","Payment Success","499992"
"7045","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2025-2026/252849","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","22-May-2026","Krishna Devi","Payment Success","17556"
"7046","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2025-2026/252849","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","22-May-2026","Babita Joshi","Payment Success","17556"
"7047","Uttarakhand","Construction of footpaths and pedestrian ways","WS/MP477/2025-2026/252849","ALMORA(DISTRICT MAGISTRATE ALMORA_IDA)","Ajay Tamta","ALMORA(SC)","22-May-2026","Prem Singh","Payment Success","19756"
"7048","Assam","Security gates in streets/public place for safety purpose","WS/MP18020/2025-2026/253736","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","14-May-2026","NK INFRA","Payment Success","264600"
"7049","Assam","Security gates in streets/public place for safety purpose","WS/MP18020/2025-2026/253736","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","14-May-2026","NK INFRA","Payment Success","37604"
"7050","Assam","Security gates in streets/public place for safety purpose","WS/MP18020/2025-2026/253736","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","19-Jun-2026","NK INFRA","Payment Success","65175"
"7051","Assam","Security gates in streets/public place for safety purpose","WS/MP18020/2025-2026/253736","NALBARI(DEPUTY COMMISSIONER NALBARI_IDA)","PHANI BHUSAN CHOUDHURY","BARPETA","19-Jun-2026","NK INFRA","Payment Success","102000"
"7052","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18157/2025-2026/241179","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","AMRINDER SINGH RAJA WARRING","LUDHIANA","13-May-2026","MUKESH SINGH","Payment Success","44716"
"7053","Gujarat","Construction of bus-sheds or bus-stops","WS/MP584/2025-2026/191173","KACHCHH(DISTRICT COLLECTOR KUTCH_IDA)","Vinod Chavda","KACHCHH(SC)","20-May-2026","VAVAR GRAM PANCHYAT","Payment Success","200000"
