"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"1660","Punjab","Providing supply pipelines for drinking water","WS/MP380/2025-2026/243158","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","20-Aug-2026","Dhaliwal Enterprises","Payment In-Progress","47320"
"1661","Punjab","Providing supply pipelines for drinking water","WS/MP380/2025-2026/243158","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","20-Aug-2026","Dhaliwal Enterprises","Payment In-Progress","47320"
"1662","Punjab","Providing supply pipelines for drinking water","WS/MP380/2025-2026/243158","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","20-Aug-2026","Dhaliwal Enterprises","Payment In-Progress","47320"
"1663","Punjab","Providing supply pipelines for drinking water","WS/MP380/2025-2026/243158","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","20-Aug-2026","Dhaliwal Enterprises","Payment In-Progress","47320"
"1664","Chhattisgarh","Construction of common work sheds/ common covered sitting area","WS/MP18048/2025-2026/209869","NARAYANPUR(Collector Narayanpur_IDA)","MAHESH KASHYAP","BASTAR(ST)","02-Mar-2026","BHAKTIRATAN DAS","Payment In-Progress","182000"
"1665","Punjab","Renovation of ponds and lakes","WS/MP18156/2025-2026/184810","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","27-Aug-2026","TFS ENTERPRISES","Payment In-Progress","46088"
"1666","Punjab","Renovation of ponds and lakes","WS/MP18156/2025-2026/184810","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","27-Aug-2026","TFS ENTERPRISES","Payment In-Progress","74412"
"1667","Punjab","Renovation of ponds and lakes","WS/MP18156/2025-2026/184810","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","CHARANJIT SINGH CHANNI","JALANDHAR(SC)","27-Aug-2026","TFS ENTERPRISES","Payment In-Progress","79500"
"1668","Jammu And Kashmir","Construction of boundary walls of existing public and community buildings","WS/MP600/2025-2026/237693","RAMBAN(Deputy Commissioner Ramban_IDA)","Jitendra Singh","UDHAMPUR","17-Aug-2026","Sh Rattan Singh So Lakhpat Singh Ro Beeranbass Hochak Pogal District Ramban Contractor","Payment In-Progress","182000"
"1669","Jammu And Kashmir","Construction of boundary walls of existing public and community buildings","WS/MP600/2025-2026/148242","RAMBAN(Deputy Commissioner Ramban_IDA)","Jitendra Singh","UDHAMPUR","10-Aug-2026","Sh Rattan Singh So Lakhpat Singh Ro Beeranbass Hochak Pogal District Ramban Contractor","Payment In-Progress","189000"
"1670","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18307/2025-2026/143603","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","Piyush Vedprakash Goyal","MUMBAI NORTH","19-Aug-2026","Jaya Lcs Ltd","Payment In-Progress","2498104"
"1671","Maharashtra","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18308/2025-2026/244678","MUMBAI SUBURBAN(DISTRICT COLLECTOR MUMBAI SUBURBAN_IDA)","RAVINDRA DATTARAM WAIKAR","MUMBAI NORTH WEST","03-Aug-2026","Padmawati Mssm","Payment In-Progress","2498103"
"1672","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP323/2025-2026/228157","GIR SOMNATH(DISTRICT COLLECTOR GIR SOMNATH_IDA)","Rajeshbhai Naranbhai Chudasama","JUNAGADH","04-Aug-2026","FAREDA GRAM PANCHAYAT","Payment In-Progress","245076"
"1673","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP777/2025-2026/225359","GAUTAM BUDDHA NAGAR(DISTRICT MAGISTRATE GAUTAMBUDHNAGAR)","Mahesh Sharma","GAUTAM BUDDHA NAGAR","06-Aug-2026","MS JDS ENTERPRISES","Payment In-Progress","684700"
"1674","West Bengal","Construction of water tanks","WS/MP18246/2026-2027/248058","MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA)","PATHAN YUSUF","BAHARAMPUR","23-Aug-2026","CIMECON ENTERPRISES","Payment In-Progress","1348497"
"1675","Rajasthan","Construction of additional rooms and halls in the existing public and community building","WS/MP18163/2026-2027/256566","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","MURARI LAL MEENA","DAUSA(ST)","23-Aug-2026","GRK CONSTRUCTION COMPANY","Payment In-Progress","610500"
"1676","Uttar Pradesh","Improvement of electricity distribution infrastructure","WS/MP18237/2025-2026/194148","SAHARANPUR(DISTRICT MAGISTRAE SAHARANPUR_IDA)","IMRAN MASOOD","SAHARANPUR","24-Apr-2026","CAPITAL AC EDD BEHAT","Payment In-Progress","113721"
"1677","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2026-2027/227423","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","AKHILESH YADAV","KANNAUJ","02-Jul-2026","KRISHNA ENTERPRISES AND SUPPLIERS","Payment In-Progress","835029"
"1678","Tamil Nadu","Purchase of smart boards, visual display units and projectors","WS/MP758/2025-2026/201583","KARUR(DISTRICT COLLECTOR KARUR_IDA)","Smt S Jothimani","KARUR","18-Mar-2026","RAMESH","Payment In-Progress","199966"
"1679","Haryana","Construction of community centers and community halls","WS/MP18060/2025-2026/209044","YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA)","VARUN CHAUDHRY","AMBALA (SC)","13-Jul-2026","The Maa Shakumbhari CoOp L and C Society LTD","Payment In-Progress","665115"
"1680","Rajasthan","Construction of community centers and community halls","WS/MP18169/2025-2026/228311","RAJSAMAND(DISTRICT COLLECTOR RAJSAMAND_IDA)","MAHIMA KUMARI MEWAR","RAJSAMAND","12-Aug-2026","STAR DEALERS","Payment In-Progress","333000"
"1681","Rajasthan","Improvement of electricity distribution infrastructure","WS/MP384/2026-2027/247474","JAIPUR(DISTRICT COLLECTOR JAIPUR_IDA)","Shri Arjun Ram Meghwal","BIKANER(SC)","24-Aug-2026","YUVRAJ ELECTRICALS","Payment In-Progress","1055975"
"1682","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18345/2025-2026/207626","KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA)","AKHILESH YADAV","KANNAUJ","23-Jun-2026","KRISHNA ENTERPRISES AND SUPPLIERS","Payment In-Progress","233994"
"1683","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/231539","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","22-Jun-2026","RAMBEER SINGH","Payment In-Progress","479133"
"1684","Karnataka","Construction of boundary walls of existing public and community buildings","WS/MP18082/2025-2026/198201","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","04-Aug-2026","AJITH KUMAR P T","Payment In-Progress","123954"
"1685","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18022/2025-2026/171058","TINSUKIA(DC Tinsukia)","Shri Sarbananda Sonowal (18LS)","DIBRUGARH","25-Aug-2026","Prosanta Hatibaruah","Payment In-Progress","174445"
"1686","Assam","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18022/2025-2026/171058","TINSUKIA(DC Tinsukia)","Shri Sarbananda Sonowal (18LS)","DIBRUGARH","26-Aug-2026","Prosanta Hatibaruah","Payment In-Progress","289455"
"1687","Rajasthan","Construction of boundary walls of existing public and community buildings","WS/MP719/2025-2026/247438","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","21-May-2026","SHRI MEWADA CONSTRUCTION","Payment In-Progress","251014"
"1688","Assam","Construction of community centers and community halls","WS/MP410/2025-2026/245631","TINSUKIA(DC Tinsukia)","Pradan Baruah","LAKHIMPUR","25-Aug-2026","Manuj Kumar Telia","Payment In-Progress","350377"
"1689","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18380/2025-2026/244982","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","14-Aug-2026","SAMARTH BROTHERS","Payment In-Progress","693364"
"1690","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18380/2025-2026/244980","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","14-Aug-2026","SAMARTH BROTHERS","Payment In-Progress","608299"
"1691","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18109/2025-2026/244412","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","25-Aug-2026","Gram panchayat Madwa","Payment In-Progress","121632"
"1692","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18109/2025-2026/244412","SIDHI(DISTRICT COLLECTOR SIDHI_IDA)","DR. RAJESH MISHRA","SIDHI","25-Aug-2026","Gram panchayat Madwa","Payment In-Progress","128317"
"1693","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/210353","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","19-Aug-2026","Balwinder singh","Payment In-Progress","26905"
"1694","Punjab","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP716/2025-2026/210353","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","19-Aug-2026","Balwinder singh","Payment In-Progress","32978"
"1695","Telangana","Installing hand pumps","WS/MP18189/2026-2027/204872","KHAMMAM(DISTRICT COLLECTOR KHAMMAM_IDA)","RAMASAHAYAM RAGHURAM REDDY","KHAMMAM","17-Aug-2026","Sri Ragavendra Bore wells","Payment In-Progress","68627"
"1696","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","rakesh kumawat","Payment In-Progress","7410"
"1697","Assam","Construction of toilet blocks","WS/MP541/2026-2027/267658","MARIGAON(District Development Commissioner Morigaon)","Pradyut Bordoloi","NOWGONG","24-Aug-2026","Rajul Ahmed","Payment In-Progress","87920"
"1698","Punjab","Purchase of prosthetics, wheel chairs, tricycles (manual or motorized), elect scooties, hearing aids","WS/MP716/2025-2026/256576","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","02-Apr-2026","GR ENTERPRISES SAS Nagar MOHALI","Payment In-Progress","45000"
"1699","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","18-Aug-2026","MAMTA CONSTRUCTION AND  MATERIAL SUPPLIERS","Payment In-Progress","68308"
"1700","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","18-Aug-2026","MAMTA CONSTRUCTION AND  MATERIAL SUPPLIERS","Payment In-Progress","1940"
"1701","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/230890","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","11-Aug-2026","MAMTA CONSTRUCTION AND  MATERIAL SUPPLIERS","Payment In-Progress","132016"
"1702","Delhi","Security gates in streets/public place for safety purpose","WS/MP18397/2025-2026/218273","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","18-Aug-2026","ASN Services Pvt Limited","Payment In-Progress","591569"
"1703","Delhi","Security gates in streets/public place for safety purpose","WS/MP18397/2025-2026/215445","CENTRAL(COMMISSIONER MCD (CENTRAL DISTRICT))","Bansuri Swaraj","NEW DELHI","18-Aug-2026","ASN Services Pvt Limited","Payment In-Progress","182728"
"1704","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","JK Industries","Payment In-Progress","41278"
"1705","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","JK Industries","Payment In-Progress","45840"
"1706","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","JK Industries","Payment In-Progress","45840"
"1707","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","JK Industries","Payment In-Progress","45840"
"1708","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","JK Industries","Payment In-Progress","45840"
"1709","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","JK Industries","Payment In-Progress","45840"
"1710","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","guru nanak iron store","Payment In-Progress","40500"
"1711","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","guru nanak iron store","Payment In-Progress","48000"
"1712","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","guru nanak iron store","Payment In-Progress","37800"
"1713","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","guru nanak iron store","Payment In-Progress","46023"
"1714","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","guru nanak iron store","Payment In-Progress","49125"
"1715","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP716/2025-2026/203954","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","14-Aug-2026","guru nanak iron store","Payment In-Progress","46800"
"1716","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18118/2025-2026/188317","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","BHASKAR MURLIDHAR BHAGARE","DINDORI(ST)","06-Aug-2026","VISHAL SUBHASH BAGUL","Payment In-Progress","992892"
"1717","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/240536","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","20-Aug-2026","RAJASTHAN CONSTRUCTION AND ENTERPRISES","Payment In-Progress","197303"
"1718","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18211/2025-2026/215167","DEORIA(DISTRICT MAGISTRATE DEORIA)","SHASHANK MANI","DEORIA","19-Jun-2026","MS DIVYANSH CONSTRUCTION PRO PRAMOD KUMAR SINGH","Payment In-Progress","302133"
"1719","Assam","Construction of toilet blocks","WS/MP541/2026-2027/267663","MARIGAON(District Development Commissioner Morigaon)","Pradyut Bordoloi","NOWGONG","24-Aug-2026","Rabbul Hussain","Payment In-Progress","87920"
"1720","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18346/2025-2026/202743","RAE BARELI(DISTRICT MAGISTRATE RAE BARELI_IDA)","RAHUL GANDHI","RAE BARELI","27-Aug-2026","ram narayan enterprises","Payment In-Progress","381544"
"1721","Assam","Construction of buildings for community cultural activities","WS/MP18020/2025-2026/205146","BARPETA(DEPUTY COMMISSIONER BARPETA 1)","PHANI BHUSAN CHOUDHURY","BARPETA","07-Aug-2026","SRI SRI NARASINGHA GOPAL NAMGHAR VILL KAMARGAON","Payment In-Progress","240000"
"1722","Assam","Construction of rooms and halls in school and colleges","WS/MP541/2025-2026/224381","MARIGAON(District Development Commissioner Morigaon)","Pradyut Bordoloi","NOWGONG","24-Aug-2026","Abduk Rajak","Payment In-Progress","87920"
"1723","Jammu And Kashmir","Street lights","WS/MP18260/2025-2026/186682","SRINAGAR(DEPUTY COMMISSIONER SRINAGAR_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","31-Mar-2026","Alyas ahmad mir","Payment In-Progress","682"
"1724","Rajasthan","Construction of community centers and community halls","WS/MP18162/2025-2026/187418","Shahpura(DISTRICT COLLECTOR Shahpura_IDA)","DAMODAR AGARWAL","BHILWARA","25-Aug-2026","shaitan kumawat","Payment In-Progress","20800"
"1725","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140155","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Aug-2026","AARTI","Payment In-Progress","3990"
"1726","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140155","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Aug-2026","DIPMALA TAK","Payment In-Progress","3990"
"1727","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140155","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Aug-2026","SUMAN","Payment In-Progress","3990"
"1728","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140155","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Aug-2026","GITA DEVI","Payment In-Progress","3990"
"1729","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140155","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Aug-2026","AAKASH","Payment In-Progress","3990"
"1730","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140155","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Aug-2026","SUNIL DULGACH","Payment In-Progress","2700"
"1731","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140155","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Aug-2026","PAYAL DULGACH","Payment In-Progress","1995"
"1732","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","SUNITA","Payment In-Progress","2850"
"1733","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140155","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","22-Aug-2026","SUNIL BOHRA","Payment In-Progress","12600"
"1734","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","RAVI BOHRA","Payment In-Progress","10800"
"1735","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","KAMAL BOHRA","Payment In-Progress","11700"
"1736","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","NIRMALA RAIDAS","Payment In-Progress","3990"
"1737","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","SAROJ JAJORIYA","Payment In-Progress","3990"
"1738","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","KAJAL KUMARI","Payment In-Progress","3990"
"1739","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","ANITA DEVI","Payment In-Progress","3990"
"1740","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","KAMLA DEVI","Payment In-Progress","3990"
"1741","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","GOVIND BOHRA","Payment In-Progress","10800"
"1742","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","KAUSHLYA DEVI","Payment In-Progress","3990"
"1743","Jammu And Kashmir","Providing supply pipelines for drinking water","WS/MP18260/2025-2026/185397","SRINAGAR(DEPUTY COMMISSIONER SRINAGAR_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","08-Apr-2026","Mushtaq Ahmad Panjra","Payment In-Progress","182300"
"1744","Jammu And Kashmir","Providing supply pipelines for drinking water","WS/MP18260/2025-2026/185399","SRINAGAR(DEPUTY COMMISSIONER SRINAGAR_IDA)","AGA SYED RUHULLAH MEHDI","SRINAGAR","29-Jun-2026","Mehraj ud Din Shah","Payment In-Progress","133300"
"1745","Gujarat","Construction of boundary walls of existing public and community buildings","WS/MP18321/2024-2025/163333","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","24-Aug-2026","GHADKAN GRAM PANCHAYAT","Payment In-Progress","400000"
"1746","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP429/2025-2026/198906","KORBA(Collector-Korba)","Jyotsna Charandas Mahant","KORBA","27-Aug-2026","CEO JP Pali sansad mad 18th","Payment In-Progress","149233"
"1747","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","KANTA DEVI","Payment In-Progress","3990"
"1748","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","PREM DEVI","Payment In-Progress","3990"
"1749","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","MAYA MOURYA","Payment In-Progress","3990"
"1750","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","MAMTA DEVI","Payment In-Progress","3990"
"1751","Rajasthan","Construction of community centers and community halls","WS/MP719/2024-2025/140154","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","25-Aug-2026","SUSHILA DEVI","Payment In-Progress","3990"
"1752","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/229445","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","20-Jul-2026","AKSHAT BUILDERS","Payment In-Progress","399288"
"1753","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/229428","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","20-Jul-2026","AKSHAT BUILDERS","Payment In-Progress","419461"
"1754","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/229441","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","20-Jul-2026","AKSHAT BUILDERS","Payment In-Progress","636844"
"1755","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18209/2025-2026/239037","MUZAFFARNAGAR(DISTRICT MAGISTRATE MUZAFFARNAGAR_IDA)","CHANDAN CHAUHAN","BIJNOR","20-Jul-2026","AKSHAT BUILDERS","Payment In-Progress","398654"
"1756","Punjab","Installing tube-wells and borewells","WS/MP18158/2026-2027/261347","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","26-Aug-2026","SANTOKH SINGH","Payment In-Progress","48300"
"1757","Punjab","Installing tube-wells and borewells","WS/MP18158/2026-2027/261347","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","26-Aug-2026","SANTOKH SINGH","Payment In-Progress","47250"
"1758","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP353/2026-2027/210709","ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA)","Adv Dean Kuriakose","IDUKKI","18-Aug-2026","NAZAR P M","Payment In-Progress","793606"
"1759","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/192301","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","15-Jul-2026","MICRO ENGINEERS","Payment In-Progress","499724"
"1760","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP856/2025-2026/228817","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Rajnath Singh","LUCKNOW","08-Aug-2026","AWADH CONSTRUCTIONS COMPANY","Payment In-Progress","221868"
"1761","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP856/2025-2026/228818","LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA)","Rajnath Singh","LUCKNOW","08-Aug-2026","AWADH CONSTRUCTIONS COMPANY","Payment In-Progress","158722"
