"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"4383","Normal/Others","WS/MP18374/2024-2025/150299-Setting up public non-conventional energy plants","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing 5 KV Solar power system at Govt.BC Boys Hostel, Amberpet","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","28-Mar-2025","990000"
"4384","Normal/Others","WS/MP18374/2024-2025/150314-Purchase of hospital equipment","Telangana","HYDERABAD(DISTRICT COLLECTOR HYDERABAD_IDA)","Providing Infrastructure Facilities for Institute Of Child Health Niloufer Hospital For Women and Children.","Shri Anil Kumar Yadav Mandadi (2024-30) (NaN-NaN)","Elected MP","N/A","28-Mar-2025","6000000"
"4385","Normal/Others","WS/MP140/2024-2025/175569-Installing tube-wells and borewells","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","For Installing SOLAR WATER PUMP 7.5HP","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","02-Jul-2025","245000"
"4386","Normal/Others","WS/MP197/2024-2025/110729-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttar Pradesh","GHAZIPUR(DISTRICT MAGISTRAE GHAZIPUR_IDA)","CC/Interlocking work from paved road to Purshotam Yadav's camp in Shahpur Usari.","Shri Neeraj Shekhar (2020-26) (NaN-NaN)","Elected MP","Images","20-Jan-2026","895426"
"4387","Normal/Others","WS/MP18334/2024-2025/152221-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Providing internal CC Road from P.Balaram House to M.Suresh House at Mandaram AW if Mandaram GP, Rajampeta Mandal","Shri Meda Raghunadha Reddy (2024-30) (NaN-NaN)","Elected MP","Images","29-Mar-2025","432764"
"4388","Normal/Others","WS/MP18334/2024-2025/152220-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Providing internal CC Road from S.Santha mma House to M.Surya House at Mandaram Rachapalli of Mandaram GP, Rajampeta Mandal","Shri Meda Raghunadha Reddy (2024-30) (NaN-NaN)","Elected MP","Images","29-Mar-2025","371044"
"4389","Normal/Others","WS/MP18334/2024-2025/152222-Construction of roads, link roads, pathways or any other road with or without drainage system","Andhra Pradesh","Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA)","Providing CC Road from Subbarayu du House to Venkatesh Nayudu House in Peddakara mpalli GP of Rajampeta Mandal","Shri Meda Raghunadha Reddy (2024-30) (NaN-NaN)","Elected MP","Images","29-Mar-2025","499996"
"4390","Normal/Others","WS/MP141/2024-2025/138760-Purchase of ambulances (Four, three and two wheelers)","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","purchase of ambulance for indian red cross society , district red cross branch , jaladhar","Shri Harbhajan Singh (2022-28) (NaN-NaN)","Elected MP","Images","05-Jun-2025","1791147.52"
"4391","Normal/Others","WS/MP18364/2024-2025/149987-Construction of roads, link roads, pathways or any other road with or without drainage system","Karnataka","BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA)","C.C.Road Development work.","Shri Narayanasa K. Bhandage (2024-30) (NaN-NaN)","Elected MP","N/A","29-Mar-2025","499534"
"4392","Normal/Others","WS/MP096/2024-2025/145353-Construction of roads, link roads, pathways or any other road with or without drainage system","Kerala","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Construction of Madrasa Anangot chola road/pathway, Ward No. 12, Pulamanthole Panchayat","Shri Abdul Wahab (2021-27) (NaN-NaN)","Elected MP","Images","29-Mar-2025","491654"
