"Sr. No.","Work Category","Work","State","IDA","Work Description","Hon'ble Members of Parliament","Elected/Nominated","Image","Completion Date","Amount Disbursed ( ₹ )"
"816","Normal/Others","WS/MP139/2023-2024/80031-Construction of toilet blocks","Puducherry","Puducherry(PROJECT DIRECTOR RDA PUDUCHERRY_IDA)","Construction of student toilet block at Ground Floor in Government Primary School, Pettuchettipet in Lawspet  constituency, Puducherry.","Shri S. Selvaganabathy (2021-27) (NaN-NaN)","Elected MP","Images","07-Aug-2025","1560281"
"817","Normal/Others","WS/MP015/2023-2024/38334-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Sannathi 1st Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","996672"
"818","Normal/Others","WS/MP015/2023-2024/38335-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Surya Nagar 9st Street East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","997398"
"819","Normal/Others","WS/MP015/2023-2024/38336-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Annai Therasa Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","997690"
"820","Normal/Others","WS/MP015/2023-2024/38337-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Gandhi Street in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-204","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","997143"
"821","Normal/Others","WS/MP015/2023-2024/38250-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Kamarajar 1st Street West side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","11-Jan-2024","996399"
"822","Normal/Others","WS/MP015/2023-2024/38247-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Abdulkalam Street East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","12-Jan-2024","998161"
"823","Normal/Others","WS/MP015/2023-2024/38246-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Raja Veethi North  side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","12-Jan-2024","997304"
"824","Normal/Others","WS/MP015/2023-2024/38249-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Sanathi Street  in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","12-Jan-2024","996313"
"825","Normal/Others","WS/MP015/2023-2024/38248-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at V.T.Mani Nagar main road  East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","12-Jan-2024","996608"
"826","Normal/Others","WS/MP015/2023-2024/38245-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Kamarajar 1st Street East side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","12-Jan-2024","996399"
"827","Normal/Others","WS/MP015/2023-2024/38254-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Raja Veethi South side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","13-Jan-2024","998320"
"828","Normal/Others","WS/MP015/2023-2024/38253-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Abdulkalam Street West side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","13-Jan-2024","997401"
"829","Normal/Others","WS/MP015/2023-2024/38252-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at V.T.Mani Nagar Main road West side in V.T.Mani Nagar,K.Vellakulam Village,Kallikudi,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","13-Jan-2024","996215"
"830","Normal/Others","WS/MP015/2023-2024/38364-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Kirama Savadi road to Murali House in Chinnapatti Village,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","13-Jan-2024","996792"
"831","Normal/Others","WS/MP078/2023-2024/13597-Construction of bus-sheds or bus-stops","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","C/o Rain Shelter near Vetenery Centre at V & PO bhadrol Dev. Block Nadaun Distt. Hamirpur (HP)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","Images","05-Feb-2026","200000"
"832","Normal/Others","WS/MP078/2023-2024/13592-Construction of additional rooms and halls in the existing public and community building","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","C/o additional room in community centre on First Floor at Vill. Jhareri, G.P. Badhera  Dev. Block Nadaun Distt. Hamirpur (HP)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","09-May-2025","250000"
"833","Normal/Others","WS/MP078/2023-2024/25427-Construction of community centers and community halls","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","C/o Community Centre Ravi Nagar, (SC Basti) Vill. & G.P. Batran, Dev. Block Nadaun, Distt. Hamirpur (H.P.) (Executing agency, BDO Nadaun)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","09-Feb-2026","200000"
"834","Normal/Others","WS/MP078/2023-2024/25323-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","C/o L/R from Moksh Dham (Shamshan Ghat) to Pucci Sadak, Vill. Batran, Ravi Nagar (SC Basti) G. P. Batran, Dev. Block Nadaun, Distt. Hamirpur H.P. (Executing Agency, BDO Nadaun)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","09-Feb-2026","300000"
"835","Normal/Others","WS/MP078/2023-2024/25309-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Construction of Pacca Path and retaining wall near shamshan Ghat G.P. Gahli, Dev. Block Nadaun, Distt. Hamirpur H.P. (Executing Agency, BDO Nadaun)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","05-Feb-2026","300000"
"836","Normal/Others","WS/MP078/2023-2024/13591-Construction of additional rooms and halls in the existing public and community building","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","C/o additional room in community Centre at Vill. Jhareri G.P. Badhera on ground floor Dev. Block Nadaun Distt. Hamirpur (HP)","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","06-Feb-2026","250000"
"837","Normal/Others","WS/MP078/2023-2024/13534-Construction of culverts and bridges","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","C/o Dia Hume Pipe Culvert Near the House of Sh. Ashok Kumar S/o Sh. Baga Ram Vill. Mansai G. P. Mansai Teh.. Nadaun Dev. Block Nadaun Distt. Hamirpur HP","Dr. Sikander Kumar (2022-28) (NaN-NaN)","Elected MP","N/A","09-Feb-2026","300000"
"838","Normal/Others","WS/MP146/2023-2024/11229-Development of playfields and sports grounds","Rajasthan","JODHPUR(DISTRICT COLLECTOR JODHPUR IDA)","Construction of boundary wall of Play ground at Gram Panchayat Rajlani, P.S. Bhopalgarh, Jodhpur","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","03-Mar-2024","992000"
"839","Normal/Others","WS/MP203/2023-2024/57459-Street lights","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Please see the attached file.","Smt. Darshana Singh (2022-28) (NaN-NaN)","Elected MP","Images","28-Mar-2024","10980000"
"840","Normal/Others","WS/MP146/2023-2024/11222-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Construction of Public Reading Room cum Library near Gaziram Meghwal residence ward no.3, Gram Panchayat Chelak, P.S. Fatehgarh, Jaisalmer","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","10-Aug-2024","1000000"
"841","Normal/Others","WS/MP053/2023-2024/43938-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","MUNGER(DISTRICT PLANNING OFFICER MUNGER_IDA)","CONSTRUCTION OF PCC ROAD FROM NH-80 TO RING BANDH GANGA RIVER IN BANGALEE TOLA KARHARIYA PASCHIM PANCHAYAT","Shri Khiru Mahto (2022-28) (NaN-NaN)","Elected MP","Images","12-Jul-2025","394738"
"842","Normal/Others","WS/MP015/2023-2024/38361-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Chatrapatti Main road to Murali House in Chinnapatti Village,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998022"
"843","Normal/Others","WS/MP015/2023-2024/38360-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam road at Natham NH road to Kirama Savadi road in Chinnapatti Village,Madurai (Dt).2023-24","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","996241"
"844","Normal/Others","WS/MP015/2023-2024/11881-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at First street North Side in Annai Velu Nagar, Karuvanur village, Madurai District. (SC Area)(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998557"
"845","Normal/Others","WS/MP015/2023-2024/11880-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Thavasipudhur Main Road West Side in Karuvanur village, Madurai District. (SC Area)(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998043"
"846","Normal/Others","WS/MP225/2023-2024/75727-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Construction of CC Road from main Road towards Mukti Dham at Mudpar (B) Village of Palmgarh Block of Jahanjir Champa District.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Jun-2025","1000000"
"847","Normal/Others","WS/MP015/2023-2024/11878-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Thavasipudhur Main Road East Side in Karuvanur village, Madurai District. (SC Area) (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998591"
"848","Normal/Others","WS/MP146/2023-2024/11221-Construction of public libraries and reading rooms","Rajasthan","JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA)","Construction of Public Library / Reading Room with Toilet & Washroom near Sabal Singh residence Hapa, Gram Panchayat, Adbala, P.S. Sam, Dist. Jaisalmer","Shri Mukul Wasnik (2022-28) (NaN-NaN)","Elected MP","Images","26-Sep-2024","1000000"
"849","Normal/Others","WS/MP015/2023-2024/11867-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam road at Ayyanar city Main Road south side in Chettikulam Village,Madurai District (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998870"
"850","Normal/Others","WS/MP225/2023-2024/75724-Construction of roads, link roads, pathways or any other road with or without drainage system","Chhattisgarh","JANJGIR-CHAMPA(DISTRICT COLLECTOR JANJGIR CHAMPA_IDA)","Construction of CC Road from the house of Hulas Diwakar to Silly Approach Road.","Smt. Ranjeet Ranjan (2022-28) (NaN-NaN)","Elected MP","Images","12-Jun-2025","1000000"
"851","Normal/Others","WS/MP015/2023-2024/11869-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam Road at Ayyanar City Main Road North side in Chettikulam village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998911"
"852","Normal/Others","WS/MP015/2023-2024/11879-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at First street South Side in Annai Velu Nagar, Karuvanur village, Madurai District. (SC Area) (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998545"
"853","Normal/Others","WS/MP015/2023-2024/11764-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Annai Velu Main Street South side in Veerapandi Village,Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","19-Jan-2024","998496"
"854","Normal/Others","WS/MP015/2023-2024/11755-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at First Street in Annai Velu City, Veerapandi Village,Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","998057"
"855","Normal/Others","WS/MP015/2023-2024/11757-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Second Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997690"
"856","Normal/Others","WS/MP015/2023-2024/11758-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Third Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997642"
"857","Normal/Others","WS/MP015/2023-2024/11759-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Fourth Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997667"
"858","Normal/Others","WS/MP015/2023-2024/11756-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road from AlanganallurMain Road to Pillayar Kovil in Annai Velu city,Veerapandi Village,Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997940"
"859","Normal/Others","WS/MP015/2023-2024/11760-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Fifth Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997685"
"860","Normal/Others","WS/MP015/2023-2024/11762-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Annai Velu City Main Street North Side in Veerapandi Village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997847"
"861","Normal/Others","WS/MP015/2023-2024/11761-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Macadam Road at Cross Street in Annai Velu City, Veerapandi Village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","998567"
"862","Normal/Others","WS/MP015/2023-2024/11871-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam Road at  Golden City Main Road West Side in Chettikulam village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997847"
"863","Normal/Others","WS/MP015/2023-2024/11862-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam road at Golden city Main Road East Side in Chettikulam Village,Madurai District(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","20-Jan-2024","997921"
"864","Normal/Others","WS/MP015/2023-2024/11864-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam road at Vinayaga Nagar Street Golden city , Chettikulam Village,Madurai District(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","21-Jan-2024","998194"
"865","Normal/Others","WS/MP015/2023-2024/11866-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam road at First street in Deiveni  Nagar,Golden city , Chettikulam Village,Madurai District (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","21-Jan-2024","998566"
"866","Normal/Others","WS/MP015/2023-2024/11868-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam Road at cross street in Ayyanar city,Chettikulam village, Madurai District. (2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","21-Jan-2024","998558"
"867","Normal/Others","WS/MP015/2023-2024/11870-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Providing Bituminous Mecadam Road at First Street North Side in Golden City,  Chettikulam village, Madurai District.(2022-2023)","Shri R. Dharmar (2022-28) (NaN-NaN)","Elected MP","Images","21-Jan-2024","998621"
"868","Normal/Others","WS/MP052/2023-2024/16017-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","PCC road construction work on the road leading from R. W. D. Road to the house of Shri Bindeshwari Singh in village Chikanota of Panchayat Chapra Bahas of Block Sugauli. Estimated amount Rs. 1499300/-","Shri Satish Chandra Dubey (2022-28) (NaN-NaN)","Elected MP","N/A","23-Jan-2024","1483816"
"869","Normal/Others","WS/MP001/2023-2024/14253-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PURBI CHAMPARAN(DISTRICT PLANNING OFFICER MOTHIHARI EAST CHAMPARAN_IDA)","Construction Work of  P.C.C Road From Reo Road to Bhola Patel Gowas(Bathani) in village Nayak Tola of Harpur Panchayat of Adapur Block,Raxual Assembly of East Champaran District (Estimated Amount 15 Lakhs)","Shri Shambhu Sharan Patel (2022-28) (NaN-NaN)","Elected MP","N/A","26-Jan-2024","1484150"
"870","Normal/Others","WS/MP106/2023-2024/58926-Improvement of electricity distribution infrastructure","Madhya Pradesh","JHABUA(DISTRICT COLLECTOR JHABUA_IDA)","Gram Panchayat Bhoyara, Janpad Panchayat Jhabua, District Madhya Pradesh ke Gram Bhoyara main Transformer, Vidyut Poll evam anya Vidhyutikaran kary hetu, Vidhansabha 193-Jhabua","Shri Vivek K. Tankha (2022-28) (NaN-NaN)","Elected MP","N/A","08-Jul-2024","418000"
"871","Normal/Others","WS/MP140/2023-2024/8584-Purchase of ambulances (Four, three and two wheelers)","Punjab","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Ambulance.","Shri Sant Balbir Singh (2022-28) (NaN-NaN)","Elected MP","Images","26-Feb-2024","2305074"
"872","Normal/Others","WS/MP196/2023-2024/36619-Construction of rooms and halls in school and colleges","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Construction of room/halls in Ram Baran Singh, Inter Collage, Choraha, Machchali Shahar, Jaunpur.","Shri Brij Lal (2020-26) (NaN-NaN)","Elected MP","Images","17-Dec-2025","2000000"
"873","Normal/Others","WS/MP202/2023-2024/21596-Improvement of electricity distribution infrastructure","Uttar Pradesh","JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA)","Block Sirkoni Gram Sadeepur me Junier High School Sadeepur Ki Nayi Building TollTax Ke Pass 25 KVA Transformar Va 2 Khambha Tar Ka VIdhutikaran  Ka Karya Sampark Sutra 9125159000","Smt. Seema Dwivedi (2020-26) (NaN-NaN)","Elected MP","Images","30-Jun-2025","157000"
"874","Trust and Society","WS/MP847/2023-2024/36620-Construction of rooms and halls in school and colleges","Uttar Pradesh","UNNAO(DISTRICT MAGIISTRATE UNNAO_IDA)","bhawan nirman hetu karyadayi sanstha- manager/principal Late. RamaShankar Dikshit Balika Inter College Samiti Jila Unnao","Shri Baburam Nishad (2022-28) (NaN-NaN)","Elected MP","Images","02-Feb-2026","1500000"
"875","Normal/Others","WS/MP138/2023-2024/40046-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Improvement /Construction of Road from R&B Road to Atul New Court Road, Village-Nial, G.P. Nial, Block-AUL, Distt.-Kendrapara","Smt. Sulata Deo (2022-28) (NaN-NaN)","Elected MP","Images","08-Aug-2024","500000"
"876","Normal/Others","WS/MP162/2023-2024/68242-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Provinding Bituminous Macadam Road at Cross Street in Thirumala Town ship, Thiruppalai Madurai District (Word No.7)","Shri S. Kalyanasundaram (2022-28) (NaN-NaN)","Elected MP","Images","25-Jan-2024","998048"
"877","Repair and Renovation","WS/MP138/2023-2024/63933-Construction of roads, link roads, pathways or any other road with or without drainage system","Odisha","Kendrapada(DISTRICT COLLECTOR KENDRAPARA_IDA)","Improvement /Construction of Road from Radhanagar to Mendhapur in Village-Medhanpur, G.P. Mendhapur, Block-AUL, Distt.-Kendrapara","Smt. Sulata Deo (2022-28) (NaN-NaN)","Elected MP","Images","10-Aug-2024","500000"
"878","Normal/Others","WS/MP850/2023-2024/17449-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","IN VILLAGE POKHRI CONTRUCTION OF  CC ROAD FROM ROAD TO TINGARD. GRAM PANCHAYAT - POKHRI  IA (KARYADAI SANSTATHA)- BLOCK PRATAPNAGAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","27-Feb-2024","497999"
"879","Normal/Others","WS/MP162/2023-2024/68248-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Provinding Bituminous Macadam Road at Main road West Side  in Sope Nagar, Thiruppalai, Madurai District (Word No.7)","Shri S. Kalyanasundaram (2022-28) (NaN-NaN)","Elected MP","Images","25-Jan-2024","998032"
"880","Normal/Others","WS/MP850/2023-2024/17450-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","IN POKHRI CONTRUCTION OF CC ROAD FROM MUDRI GAON TO JADIPANI TOK.GRAM PANCHAYAT - POKHRI  IA ( KARAYADIA SANSTATHA- BLOCK PRATAPNAGAR)","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","27-Feb-2024","494268"
"881","Normal/Others","WS/MP850/2023-2024/16378-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA)","CONTRUCTION OF CC ROAD FROM KOTAL GOAN TO TINWAL GOAN IN VILLAGE PANCHAYAT - TINWAL ,BLOCK PRATAPNAGAR  IA(KARYADAI SANTATHA)-BLOCK PRATAPNAGAR","Shri Naresh Bansal (2020-26) (NaN-NaN)","Elected MP","Images","22-Feb-2024","494060"
"882","Normal/Others","WS/MP162/2023-2024/68253-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Provinding Bituminous Macadam Road at Main road West Side  in Thirumala Town Ship, Thiruppalai, Madurai District (Word No.7)","Shri S. Kalyanasundaram (2022-28) (NaN-NaN)","Elected MP","Images","25-Jan-2024","998693"
"883","Normal/Others","WS/MP162/2023-2024/68238-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Provinding Bituminous Macadam Road at main road east side in Thirumala Town Ship, Thiruppalai. Madurai District (Word No.7)","Shri S. Kalyanasundaram (2022-28) (NaN-NaN)","Elected MP","Images","25-Jan-2024","998040"
