"Sr. No.","Work category","WORK","State","IDA","Hon'ble Members of Parliament","Elected/Nominated","Work description","Recommended date","RECOMMENDED AMOUNT   ( ₹ )","Sanction Date"
"2560","Normal/Others","WS/MP138/2023-2024/69150-Construction of rooms and halls in school and colleges","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Treatment Room for Yoga & Music Learning Centre at Municipal High School, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","24-Dec-2023","1000000","24-Jan-2024"
"2561","Normal/Others","WS/MP138/2023-2024/69151-Construction of rooms and halls in school and colleges","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Locker Room for Yoga & Music Learning Centre at Municipal High School, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","24-Dec-2023","1000000","24-Jan-2024"
"2562","Normal/Others","WS/MP138/2023-2024/69152-Construction of rooms and halls in school and colleges","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Reception & Retail Room for Yoga & Music Learning Centre at Municipal High School, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","24-Dec-2023","1000000","24-Jan-2024"
"2563","Normal/Others","WS/MP138/2023-2024/69153-Construction of toilet blocks","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Restrooms for Yoga & Music Learning Centre at Municipal High School, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","24-Dec-2023","1000000","24-Jan-2024"
"2564","Normal/Others","WS/MP138/2023-2024/69154-Construction of rooms and halls in school and colleges","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Dance Studio Room for Yoga & Music Learning Centre at Municipal High School, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","24-Dec-2023","1000000","24-Jan-2024"
"2565","Normal/Others","WS/MP138/2023-2024/69155-Construction of rooms and halls in school and colleges","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Training Room for Yoga & Music Learning Centre at Municipal High School, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","24-Dec-2023","1000000","24-Jan-2024"
"2566","Normal/Others","WS/MP138/2023-2024/69156-Construction of rooms and halls in school and colleges","Odisha","Jajpur(DISTRICT COLLECTOR JAJPUR_IDA)","Smt. Sulata Deo (2022-28) (2022-2028)","Elected MP","Construction of Music Room for Yoga & Music Learning Centre at Municipal High School, Jajpur Municipality, Jajpur under Jajpur Assembly Dist-Jajpur","24-Dec-2023","1000000","24-Jan-2024"
"2567","Normal/Others","WS/MP203/2023-2024/69443-Improvement of electricity distribution infrastructure","Uttar Pradesh","CHANDAULI(DISTRICT MAGISTRATE CHANDAULI_IDA)","Smt. Darshana Singh (2022-28) (2022-2028)","Elected MP","New Electric Transformer Installation and electrification work","26-Dec-2023","213138","05-Jan-2024"
"2568","Normal/Others","WS/MP850/2023-2024/69468-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","construction of CCROAD FROM MAIN ROAD TO SHRI RAJENDRA KUMAR HOUSE IN VILLAGE KUNJA BAHADURPUR,BLOCK-BAGWANPUR IA( KARYADAI SANTATHA)- NAGAR PANCHAYAT PADALI GUJJAR","26-Dec-2023","659551","10-Jan-2024"
"2569","Normal/Others","WS/MP850/2023-2024/69470-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM MANAK MAZRA MEIN SHRI TELLURAM KI DUKAN SE SHRI SATYAPAL SAINI KE MAKAN TAK CC ROAD KA NIRMAN. VILLAGE - MANAK MAZRA BLOCK - BHAGWANPUR IA(KARYADAI SANTATHA) - NAGAR PANCHAYAT PADALI GUJJAR","26-Dec-2023","753059","10-Jan-2024"
"2570","Normal/Others","WS/MP850/2023-2024/69471-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","GRAM MUNDLANA MEIN MANGLAUR MUNDLANA MARG PAR SHRI VIJAYPAL PUTR SHRI AMUL SINGH KE MAKAN SE DEVENDRA PUTR SHRI SATPAL KE MAKAN TAK INTERLOCKING TILES SARAK KA NIRMAN IA(KARAYADAI SANTATHA) - NAGAR PANCHACHAYAT PADALI GUJJAR","26-Dec-2023","983853","10-Jan-2024"
"2571","Normal/Others","WS/MP850/2023-2024/69505-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","BLOCK ROORKEE KE GRAM RAMPUR MEIN RANA COLONY MEIN SHRI ASHOK SAINI KE MAKAN SE SHRI RAJENDRA SAINI KE MAKAN TAK CC ROAD KA NIRMAN IA( KARYADAI SANSTATHA)- NAGAR PANCHAYAT PADALI GUJJAR","26-Dec-2023","592227","10-Jan-2024"
"2572","Normal/Others","WS/MP850/2023-2024/69506-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","BLOCK -ROORKEE KE GRAM- RAMPUR MEIN MAIN ROAD SE NARESH VALMIKI KE MAKAN KI AUR CC ROAD KA NIRMAN  SC KHETR  IA( KARAYADAI SANSTATHA)- NAGAR PANCHAYAT PADALI GUJJAR","26-Dec-2023","424245","10-Jan-2024"
"2573","Normal/Others","WS/MP850/2023-2024/69507-Construction of roads, link roads, pathways or any other road with or without drainage system","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","BLOCK -ROORKEE KE GRAM DHANAURI MEIN MAIN GATE SE RAVIDAS MANDIR TAK CC ROAD EVAM NALI KA NIRMAN  IA(KARYADAI SANSTATHA)-NAGAR PANCHAYAT PADALI GUJJAR","26-Dec-2023","664125","10-Jan-2024"
"2574","Normal/Others","WS/MP190/2023-2024/69866-Purchase of ambulance to transport sick and injured animals","Uttar Pradesh","BAREILLY(DISTRICT MAGISTRAE BAREILLY_IDA)","Shri Mithlesh Kumar (2022-28) (2022-2028)","Elected MP","Ambulence to transport sick and injurd animals in PEOPLE FOR ANIMALS Bareilly.","27-Dec-2023","582552","23-Jan-2024"
"2575","Normal/Others","WS/MP844/2023-2024/70107-Providing supply pipelines for drinking water","Punjab","MANSA(DEPUTY COMMISSIONER MANSA_IDA)","Dr. Vikramjit Singh Sahney (2022-28) (2022-2028)","Elected MP","MPLAD recommendation of rupees 25 lakh rupees for Laying of pipes for water supply in the Bachhoana Village of Budhlada block, District Mansa","27-Dec-2023","1923180","02-Feb-2024"
"2576","Normal/Others","NA-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light @ Near Sivan Koil Keezhkalpoondi  Panchayat in Cuddlore","27-Dec-2023","450000","NA"
"2577","Normal/Others","NA-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light @ near Mariyamman Koil street,  SC Area, Sirupakkam Panchayat  in Cuddlore","27-Dec-2023","450000","NA"
"2578","Normal/Others","NA-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light @ near Mariyamman Koil street, Backward class People Sirupakkam Panchayat  in Cuddlore","27-Dec-2023","450000","NA"
"2579","Normal/Others","NA-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light @ near Bus stand Sirupakkam Panchayat  in Cuddlore","27-Dec-2023","450000","NA"
"2580","Normal/Others","WS/MP163/2025-2026/70309-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light @ near Mariyamman Koil street,  SC Area, Pattur  Panchayat  in Cuddlore","27-Dec-2023","450000","26-Jun-2025"
"2581","Normal/Others","WS/MP163/2024-2025/70310-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light (12M 150W 6 Light/Ladder Type) @ Near Perumal Koil street, Malayanur Panchayat","27-Dec-2023","449714","17-Feb-2025"
"2582","Normal/Others","WS/MP163/2024-2025/70311-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light (12M 150W 6 Light/Ladder Type) @ Periya Koil street, Malayanur Panchayat","27-Dec-2023","449714","17-Feb-2025"
"2583","Normal/Others","NA-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light (12M 150W 6 Light/Ladder Type) @ Near Moopanar Koil Adhi Dravidor  Colony, Orangore Panchayat","27-Dec-2023","450000","NA"
"2584","Normal/Others","WS/MP163/2024-2025/70319-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light (12M 150W 6 Light/Ladder Type) @ Near Muthuvel Kadai,Panayanthur Panchayat","27-Dec-2023","449714","17-Feb-2025"
"2585","Normal/Others","WS/MP163/2024-2025/70320-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light (12M 150W 6 Light/Ladder Type) @ Near Devar Nagar Bus stop Panayanthur Panchayat","27-Dec-2023","449714","17-Feb-2025"
"2586","Normal/Others","WS/MP163/2024-2025/70321-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light (12M 150W 6 Light/Ladder Type) @ Near Panchayat Union Office Panayanthur Panchayat","27-Dec-2023","449714","17-Feb-2025"
"2587","Normal/Others","WS/MP163/2024-2025/70323-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light (12M 150W 6 Light/Ladder Type) @ West Colony, Nadu street , Meladanur Panchayat","27-Dec-2023","449714","17-Feb-2025"
"2588","Normal/Others","WS/MP163/2024-2025/70324-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light (12M 150W 6 Light/Ladder Type) @ RO Water Near, New Colony,  Naraiyur Panchayat","27-Dec-2023","449714","17-Feb-2025"
"2589","Normal/Others","WS/MP163/2024-2025/70325-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light (12M 150W 6 Light/Ladder Type) @ Bus stand West Area,  S.Naraiyur Panchayat","27-Dec-2023","449714","17-Feb-2025"
"2590","Normal/Others","WS/MP163/2024-2025/70326-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light (12M 150W 6 Light/Ladder Type) @ BC Kudiyirupu Area, Mariyamman Koil street,  S.Naraiyur Panchayat","27-Dec-2023","449714","17-Feb-2025"
"2591","Normal/Others","WS/MP163/2024-2025/70329-Lighting of public spaces","Tamil Nadu","CUDDALORE(DISTRICT COLLECTOR CUDDALORE_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light (12M 150W 6 Light/Ladder Type) @ Perumal Koil street near, Kazhuthur Panchayat","27-Dec-2023","450000","17-Feb-2025"
"2592","Normal/Others","WS/MP163/2023-2024/70332-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 1st street East Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","997143","18-Jan-2024"
"2593","Normal/Others","WS/MP163/2023-2024/70333-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 2nd  street East Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","998000","18-Jan-2024"
"2594","Normal/Others","WS/MP163/2023-2024/70334-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 3rd  street East Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","996837","18-Jan-2024"
"2595","Normal/Others","WS/MP163/2023-2024/70335-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 4th  street East Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","997037","18-Jan-2024"
"2596","Normal/Others","WS/MP163/2023-2024/70336-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Main Road East Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District., Madurai.","27-Dec-2023","996473","18-Jan-2024"
"2597","Normal/Others","WS/MP163/2023-2024/70337-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 1st street West Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","997304","18-Jan-2024"
"2598","Normal/Others","WS/MP163/2023-2024/70338-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Main Road West Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District., Madurai.","27-Dec-2023","998164","18-Jan-2024"
"2599","Normal/Others","WS/MP163/2023-2024/70339-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 4th  street West Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","997042","18-Jan-2024"
"2600","Normal/Others","WS/MP163/2023-2024/70340-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 3rd  street West Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","996757","18-Jan-2024"
"2601","Normal/Others","WS/MP163/2023-2024/70341-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 2nd  street West Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","997642","18-Jan-2024"
"2602","Normal/Others","WS/MP163/2023-2024/70342-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 5th street East Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","996613","18-Jan-2024"
"2603","Normal/Others","WS/MP163/2023-2024/70343-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 1st cross  street East Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","998059","18-Jan-2024"
"2604","Normal/Others","WS/MP163/2023-2024/70344-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 2nd  cross  street East Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","997581","18-Jan-2024"
"2605","Normal/Others","WS/MP163/2023-2024/70345-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at  cross  street East Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","997062","18-Jan-2024"
"2606","Normal/Others","WS/MP163/2023-2024/70346-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at Main roadNorth side in Nethaji Nagar, Kadakkinaru,, Madurai District.","27-Dec-2023","996712","18-Jan-2024"
"2607","Normal/Others","WS/MP163/2023-2024/70347-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 5th   street West Side in Sri Jeya Villas Garden, Kadakkinaru, Madurai District.","27-Dec-2023","997084","18-Jan-2024"
"2608","Normal/Others","WS/MP163/2023-2024/70348-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 1st cross  street West Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","996038","18-Jan-2024"
"2609","Normal/Others","WS/MP163/2023-2024/70349-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 2nd  cross  street West Side in Sri Jeya Villas Garden, Kadakkinaru,, Madurai District.","27-Dec-2023","997661","18-Jan-2024"
"2610","Normal/Others","WS/MP163/2023-2024/70351-Construction of roads, link roads, pathways or any other road with or without drainage system","Tamil Nadu","MADURAI(DISTRICT COLLECTOR MADURAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Bituminous Macadam Road at 3rd & 4th street in Ayyanar Colony, Kadakkinaru, Madurai District.","27-Dec-2023","997863","18-Jan-2024"
"2611","Normal/Others","WS/MP163/2024-2025/70352-Lighting of public spaces","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light 10 M @ Ammanur Village Koil Compound near Elapakkam Panchayat in Chengalpattu District","27-Dec-2023","399553","14-Sep-2024"
"2612","Normal/Others","WS/MP163/2024-2025/70353-Lighting of public spaces","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light 10 M @ Ammanur Junction road near Elapakkam Panchayat in Chengalpattu District","27-Dec-2023","399553","14-Sep-2024"
"2613","Normal/Others","WS/MP163/2024-2025/70354-Lighting of public spaces","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light 10M @ Kulakarai Bus stop, Murungai  Panchayat in Chengalpattu District","27-Dec-2023","399553","14-Sep-2024"
"2614","Normal/Others","NA-Purchase of books for public libraries/ digitization of library books","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing  Book  writter Thiru. A.G.Koppana (Mamanidar Nehru Ariya Pugaipada Varalaru ) @ High school, Hr Sec school and  Collage","27-Dec-2023","1000000","NA"
"2615","Normal/Others","WS/MP163/2024-2025/70356-Lighting of public spaces","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light 10M @ Near school Compound, Kalathur Panchayat in Chengalpattu District","27-Dec-2023","399553","14-Sep-2024"
"2616","Normal/Others","WS/MP163/2024-2025/70357-Lighting of public spaces","Tamil Nadu","CHENGALPATTU(District Collector Chengalpattu_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing Highmast light 10M @ Near Ellaiamman Koil ,  Perumperkandigai Panchayat in Chengalpattu District","27-Dec-2023","399553","14-Sep-2024"
"2617","Normal/Others","WS/MP163/2026-2027/70361-Construction of bus-sheds or bus-stops","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Construction Bus Terminus at Muthamizh  Kalaignar Nootrandu Vizha Ninaivu Bus stop in Kumarannagar, in Kolathur MLA Constituency.","27-Dec-2023","14600000","31-Jul-2026"
"2618","Normal/Others","WS/MP163/2025-2026/70364-Construction of public libraries and reading rooms","Tamil Nadu","CHENNAI(COMMISSIONER MUNCIPAL CORPORATION CHENNAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Construction of Library Building @ Madurai Pillai street,Aynavaram in Kolathur  MLA Constituency","27-Dec-2023","3950000","02-Jul-2025"
"2619","Normal/Others","WS/MP163/2024-2025/70365-Purchase of furniture and fixtures for educational purposes","Tamil Nadu","TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA)","Shri R. Girirajan (2022-28) (2022-2028)","Elected MP","Providing steel desk and chairs for Dominic Savio higher secondary school in chetpet town panchayat in Tiruvannamalai.","27-Dec-2023","500000","30-Sep-2024"
"2620","Normal/Others","WS/MP850/2023-2024/70508-Construction of rooms and halls in school and colleges","Uttarakhand","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","Shri Naresh Bansal (2020-26) (2020-2026)","Elected MP","POLICE MORDERN SCHOOL,POLICE LINE ROSHNABAD ,WARD NO. - 13, NAGAR PALIKA SHIVALIK NAGAR  MEIN EK KAKSH KA NIRMAN.  IA ( KARYADAI SANSTATHA)-NAGAR PALIKA PARISHAD SHIVALIK NAGAR","28-Dec-2023","1000000","16-Jan-2024"
"2621","Normal/Others","WS/MP147/2023-2024/70685-Construction of additional rooms and halls in the existing public and community building","Rajasthan","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Pramod Tiwari (2022-28) (2022-2028)","Elected MP","Construction of two rooms in the cultural building complex in Gram Panchayat Mandal Charnan, Panchayat Samiti Srikolayat.","28-Dec-2023","996090","15-Feb-2024"
"2622","Normal/Others","WS/MP078/2023-2024/71145-Development of playground","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o Playground at G.P. Changer, Dev. Block Hamirpur, Distt. Hamirpur (HP) as per recommendation of Sh. Anil Kumar, Pradhan (Executing agency BDO Hamirpur)","29-Dec-2023","300000","15-Feb-2024"
"2623","Normal/Others","WS/MP078/2023-2024/71148-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o L/R from Dhiman Basti Saned to Shamshan Ghat Saned, Dev. Block Bhoranj, District Hamirpur (HP) (Executing Agency BDO Bhoranj)","29-Dec-2023","100000","15-Jan-2024"
"2624","Normal/Others","WS/MP078/2023-2024/71163-Construction of roads, link roads, pathways or any other road with or without drainage system","Himachal Pradesh","HAMIRPUR(DEPUTY COMMISSIONER HAMIRPUR_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","C/o L/R from Handpump to Mahila mandal, Ward No. 5 Village Ukhali, Block Bhoranj, District Hamirpur (HP) (Executing Agancy BDO Bhoranj)","29-Dec-2023","100000","15-Jan-2024"
"2625","Normal/Others","WS/MP140/2023-2024/71704-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Sarai Kham. 2mm stainless sheet AISI 304 Material etc. (SC)","30-Dec-2023","336300","23-Feb-2024"
"2626","Normal/Others","WS/MP140/2023-2024/71705-Purchase of mobile water tankers","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Kohar Kalan. 2mm stainless sheet AISI 304 Material etc. (SC)","30-Dec-2023","336300","05-Feb-2024"
"2627","Normal/Others","WS/MP140/2025-2026/71706-Construction of water tanks","Punjab","JALANDHAR(DEPUTY COMMISSIONER JALANDHAR_IDA)","Shri Sant Balbir Singh (2022-28) (2022-2028)","Elected MP","Regarding for giving single walled fabrication of 5000ltr water tanker to Village Sabuwal . 2mm stainless sheet AISI 304 Material etc. (SC)","30-Dec-2023","336300","12-Mar-2026"
"2628","Normal/Others","WS/MP052/2023-2024/71825-Construction of roads, link roads, pathways or any other road with or without drainage system","Bihar","PASHCHIM CHAMPARAN(DISTRICT PLANNING OFFICER WEST CHAMPARANBETTIAH_IDA)","Shri Satish Chandra Dubey (2022-28) (2022-2028)","Elected MP","Construction work of p.c.c. road in banuchhapar bettiah ward no. 27 from hazma tola devi nagar board to Shitla mata mandir","30-Dec-2023","992160","23-Feb-2024"
